model,val_objective,val_tail_q_excess,test_objective,test_tail_q_excess,test_sharpe,test_max_drawdown,test_mean_ipo_weight
gru,0.1560811415081844,-0.1560811415081844,0.16069052065722644,-0.16069052065722644,2.922824659355414,-0.2816178868167669,0.28492308539752004
lstm,0.0746401422424242,-0.0746401422424242,0.07419554458465427,-0.07419554458465427,3.033054650849398,-0.277783648700196,0.3993161360539752
transformer,0.17845192680833863,-0.17845192680833863,0.18401587335392833,-0.18401587335392833,2.857377770505925,-0.28956506502741186,0.2525359321298322
