epoch,train_loss,val_loss,train_mean_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,val_mean_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify
1,0.010823738201569734,0.0026098853242563728,0.0007897714197881082,0.0007897714197881082,0.03667663414111174,0.00016405491431909517,0.011547195716581258,0.0012405915175552932,0.010568150395025195,0.000648332277480282,0.000648332277480282,6.378902719367665e-05,0.00011593731463762201,0.0035237768464837197,4.473245884473268e-09,0.046441043734796766
2,0.0022281850833372045,0.002454985072042539,0.0006424450864449959,0.0006424450864449959,0.029049743249426396,0.0001091014247109422,0.0028381411279185436,0.0008663222160771774,0.04568758859052735,0.0006239842505613726,0.0006239842505613726,4.543458455057491e-05,0.00011643700043741544,0.003332288427786394,2.2693923364710385e-09,0.04717269743030721
3,0.002769313275616134,0.0023713987755565376,0.0006926681537088866,0.0006926681537088866,0.028725550920950808,0.00010882569277399303,0.0034580754917172057,0.0008571681626356842,0.04597351248461688,0.0006354231654242073,0.0006354231654242073,3.592806475233164e-05,0.0001138851388802796,0.0032672318052654426,1.4029773972371612e-09,0.05158638060939583
4,0.0018747589902283906,0.0028332063347162066,0.0006315420842718806,0.0006315420842718806,0.027435555718782086,0.00010797604605322036,0.0024854282375740937,0.0008300191831988647,0.04831610818962406,0.0006525968103443488,0.0006525968103443488,3.803633282120794e-05,0.00011761685106821534,0.0037529127410620695,1.6067928721726591e-09,0.04364846194112935
5,0.0016286921535477253,0.0037379983603552155,0.0005740886973437111,0.0005740886973437111,0.02920034556817054,0.00010849006420626391,0.002134145889145848,0.0009430806872025772,0.041913561653050935,0.0006313278852848429,0.0006313278852848429,2.258171451644595e-05,0.0001222032271606404,0.004623662834325113,5.984604624343505e-10,0.04766037163501682
6,0.0015683414732051092,0.003598048298789019,0.0006227060056664787,0.0006227060056664787,0.02692369075857799,0.00010897972642935142,0.002170240824263965,0.0008432878189310093,0.04889240134122142,0.000626419204496971,0.000626419204496971,2.8293368814047426e-05,0.00012096610599422823,0.004476911272884402,9.08058608786585e-10,0.052704204822513305
7,0.0023469028771430887,0.0038387831561770077,0.0005688533466119046,0.0005688533466119046,0.02606802923910213,0.0001090394999420458,0.002876931331496195,0.0008051545756118344,0.05236252772776875,0.0006735143610704422,0.0006735143610704422,3.800512858414407e-05,0.00012181565308152535,0.0047877667364010145,1.5857304310642602e-09,0.046830866385774675
8,0.0021023026180107458,0.002060784096432723,0.000677865297985796,0.000677865297985796,0.02896524424164293,0.000111033914055229,0.002764155386173689,0.0009775719952341065,0.044967809156443356,0.0006499271498308015,0.0006499271498308015,3.196333361775633e-05,0.00011294034053312957,0.002978884853607367,1.112953833076246e-09,0.05791194004214498
9,0.0013691581091765063,0.003028939772114179,0.0006228939911200301,0.0006228939911200301,0.02528302191064121,0.00010828954650726504,0.0019887463247690797,0.000777790420553561,0.05196995175285674,0.0006350245476966868,0.0006350245476966868,2.747897257701751e-05,0.00011756579853741743,0.003922418868246158,8.570105363808943e-10,0.05145044906511286
10,0.002445261255702922,0.0032151890491976783,0.000541979695790676,0.000541979695790676,0.024019649943652664,0.00010907066796630088,0.0029562051741899094,0.0007293746418166199,0.05510877338081097,0.0006437549608194823,0.0006437549608194823,1.8306593735984234e-05,0.00011680354704412442,0.004122236666600567,4.029372764786214e-10,0.062380352292271436
