epoch,train_loss,val_loss,lr,train_mean_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,train_excess_vs_ew,val_mean_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify,val_excess_vs_ew
1,0.056322570686461404,-0.004305324517190456,0.0003,0.002112376649165526,0.0022844996419735253,0.013757265638560057,0.0003982148518844042,0.05937805771827698,0.00029430365248117596,0.0,0.0001949757588590728,0.002896582242101431,0.002985691651701927,0.0,0.00016820708697196096,0.0,0.0,0.0,0.00024212039716076106
2,0.05332673987140879,-0.0042923251166939735,2.9999999999999997e-05,0.0018362997216172516,0.0019783166790148243,0.012062614317983389,0.0003654531974461861,0.055969446897506714,0.00023820185015210882,0.0,0.00014735174568158982,0.0028876946307718754,0.0029766634106636047,0.0,0.00016740290448069572,0.0,0.0,0.0,0.00023323297500610352
3,0.06534729414852336,-0.004279727581888437,2.9999999999999997e-05,0.0017429610597901046,0.0018955562263727188,0.01338211540132761,0.0004114132243557833,0.06783229857683182,0.0002790540602291003,0.0,0.00012119301845814334,0.002879081992432475,0.0029679168947041035,0.0,0.0001666256139287725,0.0,0.0,0.0,0.00022462030756287277
4,0.05535277305170894,-0.004267049953341484,2.9999999999999997e-05,0.0017538470565341413,0.0019133265159325674,0.012519885320216417,0.0003737460319825914,0.05787638574838638,0.00025068485410884023,0.0,0.00011615935272857314,0.002870414638891816,0.0029591154307127,0.0,0.00016584456898272038,0.0,0.0,0.0,0.00021595301222987473
5,0.046345078968442976,-0.0042542824521660805,2.9999999999999997e-05,0.0018698137137107551,0.001997270592255518,0.012170049361884594,0.00036497286055237055,0.04903101921081543,0.0002461087569827214,0.0,0.00010500119060452562,0.002861687680706382,0.0029502534307539463,0.0,0.00016506374231539667,0.0,0.0,0.0,0.0002072260103886947
6,0.07237467207596637,-0.004242359194904566,2.9999999999999997e-05,0.0019749178900383413,0.002136051480192691,0.01192959863692522,0.0004515206965152174,0.07519183307886124,0.00022911159612704068,0.0,0.00014645111787103815,0.0028535390738397837,0.002941977698355913,0.0,0.00016433745622634888,0.0,0.0,0.0,0.00019907757814507931
7,0.047890756744891405,-0.004229376558214426,2.9999999999999997e-05,0.0015415375019074418,0.0016866842634044588,0.0132961287163198,0.0003651984370662831,0.05009301006793976,0.0002768136910162866,0.0,8.797463215159951e-05,0.002844668459147215,0.0029329690150916576,0.0,0.00016355230764020234,0.0,0.0,0.0,0.00019020677427761257
8,0.052344731986522675,-0.004216451197862625,2.9999999999999997e-05,0.0017283994238823652,0.0018918099522124976,0.012212845962494612,0.000377288022718858,0.054830364882946014,0.00025541448849253356,0.0,0.00011187680320290383,0.0028358360286802053,0.002924003405496478,0.0,0.00016277271788567305,0.0,0.0,0.0,0.00018137427105102688
9,0.05127926007844508,-0.004203054588288069,2.9999999999999997e-05,0.001759575039613992,0.0019088236731477082,0.013047320768237114,0.0003705354974954389,0.053807951509952545,0.0002785622200462967,0.0,0.00011473760605440475,0.0028266790322959423,0.0029147097375243902,0.0,0.00016195881471503526,0.0,0.0,0.0,0.00017221718735527247
10,0.0648607689072378,-0.004189622588455677,2.9999999999999997e-05,0.001847659281338565,0.002001026412472129,0.01255001500248909,0.0004135316194151528,0.06750214844942093,0.0002626849745865911,0.0,9.179706194117898e-05,0.002817499917000532,0.0029053878970444202,0.0,0.0001611434418009594,0.0,0.0,0.0,0.0001630382175790146
