date,num_constituents,total_market_cap,daily_return
2020-01-02,3,353558784.01707983,0.0
2020-01-03,3,351072197.68587923,-0.008302284650024657
2020-01-06,3,364893106.05143404,0.03040738770282496
2020-01-07,3,364777449.4988456,-0.0003954136239023736
2020-01-08,3,365355723.8190875,0.0019797865816010706
2020-01-09,3,364589216.592072,-0.0025068433694480185
2020-01-10,3,364741653.563972,0.0005659233486219508
2020-01-13,3,365422999.70090485,0.002254711217653345
2020-01-14,3,365422999.70090485,0.0
2020-01-15,3,365252664.76156807,-0.0005598485202898942
2020-01-16,3,365203318.74511623,-0.0002646667928140607
2020-01-17,3,365629136.95470095,0.0013877006885899895
2020-01-21,3,365434623.4075928,-0.0005899482598483806
2020-01-22,3,364327420.78356075,-0.0036063208849217657
2020-01-23,3,365434623.4075928,0.0036471501825982747
2020-01-24,3,366359867.3856001,0.0031605552252287387
2020-01-27,3,366359867.3856001,0.0
2020-01-28,3,366359867.3856001,0.0
2020-01-29,3,366359867.3856001,0.0
2020-01-30,3,365629136.95470095,-0.0025239754812585594
2020-01-31,3,365852072.975512,-0.001982112868576408
2020-02-03,3,366277910.32385397,0.001382339246179085
2020-02-04,3,365681731.6565895,-0.0019269269133937413
2020-02-05,3,365681731.6565895,0.0
2020-02-06,3,365852072.975512,0.0005537995979370834
2020-02-07,3,364574586.4488292,-0.004144643677436736
2020-02-10,3,364574586.4488292,0.0
2020-02-11,3,364574586.4488292,0.0
2020-02-12,3,363938488.0736432,-0.0022148125859094993
2020-02-13,3,361948113.9205828,-0.0069202921336228886
2020-02-14,3,361948113.9205828,0.0
2020-02-18,3,363651482.45270777,0.005611229865047811
2020-02-19,3,363651482.45270777,0.0
2020-02-20,3,367324173.0595603,0.012606077119166725
2020-02-21,3,367324173.0595603,0.0
2020-02-24,3,367324173.0595603,0.0
2020-02-25,3,363065703.88235474,-0.01359137061789351
2020-02-26,3,363855191.8159499,0.003091039313722753
2020-02-27,3,363855191.8159499,0.0
2020-02-28,3,354192700.0643015,-0.03275697127866436
2020-03-02,3,357514256.8997116,0.011432756152445316
2020-03-03,3,357514256.8997116,0.0
2020-03-04,3,361620018.0817499,0.015218038087231687
2020-03-05,3,358213300.15625715,-0.011334527910232737
2020-03-06,3,353255857.8979492,-0.017484015668184954
2020-03-09,3,345175754.19824123,-0.029743358953855954
2020-03-10,3,345090567.5898156,-0.0002987201307402975
2020-03-11,3,317154824.73847294,-0.07338453769303338
2020-03-12,3,302787071.2584686,-0.03784933808873596
2020-03-13,3,294827662.1933918,-0.03245572675943789
2020-03-16,3,288776607.7332592,-0.02556190134452542
2020-03-17,3,277589351.6026745,-0.026783125292482123
2020-03-18,3,247404862.45769405,-0.08403918628897764
2020-03-19,3,247404862.45769405,0.0
2020-03-20,3,245644406.78702402,-0.004904376887821263
2020-03-23,3,238830907.14018106,-0.033037249393416124
2020-03-24,3,235591831.12304258,-0.007911061026964004
2020-03-25,3,235591831.12304258,0.0
2020-03-26,3,275255636.74285555,0.17770761504934018
2020-03-27,3,300668174.97897434,0.07309132799756539
2020-03-30,3,282299849.5416565,-0.08137493468225561
2020-03-31,3,284827416.80095816,-0.002110247055595779
2020-04-01,3,278524941.11088276,-0.031209306490378813
2020-04-02,3,278802463.1021371,0.0014900785252517316
2020-04-03,3,281037649.50038767,0.011500434237601125
2020-04-06,3,282741030.79168415,0.009784966720011896
2020-04-07,3,283592711.8679538,0.004752869474956307
2020-04-08,3,291354772.99257517,0.03933659609207235
2020-04-09,3,293492986.84811115,0.011552105043629395
2020-04-13,3,293492986.84811115,0.0
2020-04-14,3,293492986.84811115,0.0
2020-04-15,3,293492986.84811115,0.0
2020-04-16,3,291251225.3024926,-0.012213557201910826
2020-04-17,3,290823588.91097116,-0.002342462170756747
2020-04-20,3,290823588.91097116,0.0
2020-04-21,3,287921460.2284689,-0.014355594070366743
2020-04-22,3,282138708.5833492,-0.026569246381601724
2020-04-23,3,288939496.8783808,0.033702919750926444
2020-04-24,3,288881672.82343674,-0.00026056452881436217
2020-04-27,3,294441099.02327347,0.03157093005370632
2020-04-28,3,303173054.7672472,0.03938790247839085
2020-04-29,3,310443096.7086129,0.03771399768861416
2020-04-30,3,308997402.4653077,-0.005828746280637441
2020-05-01,3,308997402.4653077,0.0
2020-05-04,3,308997402.4653077,0.0
2020-05-05,3,306003864.7900429,-0.013946892118986217
2020-05-06,3,309960390.86125994,0.01494813286138481
2020-05-07,3,311670968.32527447,0.008530564037429474
2020-05-08,3,312526273.0062461,0.004158903071599783
2020-05-11,3,309703765.645164,-0.013553106197315243
2020-05-12,3,306060630.67347956,-0.013975562952851676
2020-05-13,3,303751329.0874891,-0.011559223442370491
2020-05-14,3,304618740.567852,0.003473918892853008
2020-05-15,3,304618740.567852,0.0
2020-05-18,3,299125126.0828533,-0.021769151426154213
2020-05-19,3,299125126.0828533,0.0
2020-05-20,3,299125126.0828533,0.0
2020-05-21,3,299125126.0828533,0.0
2020-05-22,3,301263390.97507524,0.01109067119966002
2020-05-26,3,302709076.77568007,0.006130401786826098
2020-05-27,3,302709076.77568007,0.0
2020-05-28,3,300998467.4137368,-0.008585307606404491
2020-05-29,3,302709076.77568007,0.008813515744039723
2020-06-01,3,300974253.8149543,-0.007222681756954058
2020-06-02,3,300974253.8149543,0.0
2020-06-03,3,301401915.7248187,0.002146689695066824
2020-06-04,3,304293287.32602835,0.012306709594141128
2020-06-05,3,311497479.2750416,0.0310824560506896
2020-06-08,3,331435861.852098,0.07757006391718947
2020-06-09,3,331632206.3403144,0.001324152822625282
2020-06-10,3,332487485.50294304,0.0040810242481464
2020-06-11,3,329827418.56420994,-0.00840027271565346
2020-06-12,3,336940199.45734596,0.023049023330200515
2020-06-15,3,336940199.45734596,0.0
2020-06-16,3,336940199.45734596,0.0
2020-06-17,3,336940199.45734596,0.0
2020-06-18,3,336940199.45734596,0.0
2020-06-19,3,325490352.7196951,-0.03468675873885866
2020-06-22,3,325490352.7196951,0.0
2020-06-23,3,322847254.8895383,-0.010534294605138808
2020-06-24,3,322847254.8895383,0.0
2020-06-25,3,321743701.9558568,-0.0033215921979865893
2020-06-26,3,321316052.80516386,-0.0020407424384003186
2020-06-29,3,320460748.12419224,-0.004106540768218418
2020-06-30,3,317141718.9295893,-0.012153433048174648
2021-06-30,2,25972513298.17137,0.0
2021-07-01,2,45992927298.43246,0.36355031281322603
2021-07-02,2,41565882119.68246,-0.021909041208768056
2021-07-06,2,25743505807.411644,-0.2371557406253264
2021-07-07,2,21863068770.113556,-0.10118107467017294
2021-07-08,2,17142662416.946571,-0.12173333638862129
2021-07-09,2,16327701283.607536,0.009190412181167402
2021-07-12,2,14340333039.465073,-0.07763524852665225
2021-07-13,2,11271634962.038635,-0.16138591611357272
2021-07-14,2,10127887440.03746,-0.08515907693309722
2021-07-15,2,9930863154.892464,-0.005415002360784894
2021-07-16,2,9702576238.106857,0.007116961716888567
2021-07-19,2,8411233728.842743,-0.10197996929462591
2021-07-20,2,8775708500.142464,0.0338118124738599
2021-07-21,2,9302931758.367264,0.05447434366018128
2021-07-22,2,8914021878.708832,-0.022061375163329962
2021-07-23,2,8140492905.971771,-0.07585556532462742
2021-07-26,2,7659827005.649273,-0.05089982592935424
2021-07-27,2,7074255535.971771,-0.07640563265929044
2021-07-28,2,7844965976.278229,0.10886079510132637
2021-07-29,2,7810596476.558384,-0.0027678297177855934
2021-07-30,2,8008152243.514114,0.029944782806908758
2021-08-02,2,7973930504.803429,-0.0036916873955395915
2021-08-03,2,7742785306.090889,-0.02898891906435149
2021-08-04,2,7541981070.234032,-0.02619877615614276
2021-08-05,2,7570714264.558384,0.0045885846753764455
2021-08-06,2,7336239419.809559,-0.031073548738112806
2021-08-09,2,7498537494.553429,0.022400610165591934
2021-08-10,2,7234676950.553429,-0.03535458715782512
2021-08-11,2,7233809233.772099,-0.0011365431860302366
2021-08-12,2,7210698896.291168,-0.005777525560212739
2021-08-13,2,6379231995.053429,-0.11405703186766039
2021-08-16,2,6386126487.452702,-0.005742477927367193
2021-08-17,2,6480242954.757984,0.020638497346279067
2021-08-18,2,6320756498.302254,-0.02823333933751832
2021-08-19,2,6178279618.4545555,-0.013181583043035364
2021-08-20,2,5986447975.944717,-0.03268031414196328
2021-08-23,2,6314870841.778229,0.06074987306909953
2021-08-24,2,6527419165.551575,0.03289146985229333
2021-08-25,2,6838892776.46867,0.049322285885068685
2021-08-26,2,6572348936.682457,-0.04228489250222016
2021-08-27,2,6594087085.691616,0.0034782498710072174
2021-08-30,2,6457684126.828629,-0.021596418315980387
2021-08-31,2,6564237038.46867,0.019695661458475035
2021-09-01,2,6624643152.896172,0.009897922625467228
2021-09-02,2,6586480038.901127,-0.005676808359389172
2021-09-03,2,6478783326.96867,-0.016981758624303546
2021-09-07,2,6446081917.471771,-0.006343614702540348
2021-09-08,2,6252938135.9545555,-0.029966669573775903
2021-09-09,2,6330939475.815689,0.014059797387597826
2021-09-10,2,6152384502.573673,-0.02947740587547478
2021-09-13,2,5843581011.117943,-0.050927399017313336
2021-09-14,2,5571447334.198086,-0.047511707502088094
2021-09-15,2,5618865684.605682,0.0029852466009733063
2021-09-16,2,5692703523.185486,0.013015840666423535
2021-09-17,2,5428567275.407257,-0.04188745352881135
2021-09-20,2,5113447728.863327,-0.0611528421209869
2021-09-21,2,4977905655.0,-0.02181713490294382
2021-09-22,2,5059384319.545784,0.017602212462393567
2021-09-23,2,5122588388.698086,0.009980868117118378
2021-09-24,2,4960458380.441956,-0.034723343130977816
2021-09-27,2,4922644901.727278,-0.0035413042895065666
2021-09-28,2,4699638115.136673,-0.0447382702837374
2021-09-29,2,4929633061.507984,0.05207265004647424
2021-09-30,2,5032661800.46867,0.018676466997497053
2021-10-01,2,4890299579.559559,-0.027265253210473454
2021-10-04,2,4670756643.956694,-0.04785073449410161
2021-10-05,2,4662631515.665241,-0.0005486983238290489
2021-10-06,2,4701447242.092743,0.005902399812337663
2021-10-07,2,4890945413.963163,0.04177857562945683
2021-10-08,2,4906549563.915241,0.004602216898575161
2021-10-11,2,4909367906.479416,7.289529123087396e-05
2021-10-12,2,4890117957.014114,-0.004296891236539286
2021-10-13,2,4965106101.6879635,0.012889869215104759
2021-10-14,2,5076952705.0912285,0.024730497291867205
2021-10-15,2,5064159929.808044,-0.005717026648065476
2021-10-18,2,4888395423.722416,-0.03367991729019907
2021-10-19,2,5084405022.977278,0.03944977821062824
2021-10-20,2,5219153501.427841,0.0295821046116052
2021-10-21,2,5280884712.713163,0.01284830261421726
2021-10-22,2,4998951311.477278,-0.05675691065027223
2021-10-25,2,5028976203.216816,0.004120879402721362
2021-10-26,2,4888443224.875927,-0.02579397261618928
2021-10-27,2,5080665142.23127,0.056737820649030477
2021-10-28,2,4978618589.124073,-0.019959545822892225
2021-10-29,2,5085494349.909111,0.022980796869108897
2021-11-01,2,4986400534.183971,-0.021681818017037405
2021-11-02,2,4558634146.9087715,-0.08522906690491358
2021-11-03,2,4628994768.309559,0.016144472039982042
2021-11-04,2,4443337166.214678,-0.03785404842303163
2021-11-05,2,4393208354.152641,-0.012585872598706938
2021-11-08,2,4376221967.739878,-0.0014258031641969735
2021-11-09,2,4247711773.3160286,-0.029052117747709882
2021-11-10,2,4182678135.615465,-0.014593412278107933
2021-11-11,2,4278227716.801914,0.02193731061977129
2021-11-12,2,4737142028.536837,0.1022260096646568
2021-11-15,2,4646213518.574636,-0.018991697310177122
2021-11-16,2,4532725664.836613,-0.022810242190325812
2021-11-17,2,4705751916.220808,0.031349201999764986
2021-11-18,2,4540427172.592743,-0.04957502065268586
2021-11-19,2,4389785230.601351,-0.025535276876381158
2021-11-22,2,4192653118.2994366,-0.04836961535609165
2021-11-23,2,4104717469.4379635,-0.01864311395235104
2021-11-24,2,4164121336.1526413,0.015190888686215442
2021-11-26,2,4032534111.270584,-0.03408468216245988
2021-11-29,2,4019431960.5393143,-0.0007913437046926436
2021-11-30,2,3937119250.882057,-0.025376748959105147
2021-12-01,2,3753768741.632057,-0.04701462299566504
2021-12-02,2,3616208888.5126,-0.039606606195549045
2021-12-03,2,3350882074.8080444,-0.07837901817010817
2021-12-06,2,3308595719.3639507,0.0020836731290705852
2021-12-07,2,3502714392.859335,0.05072696066878034
2021-12-08,2,3689575980.8246365,0.06795975489400592
2021-12-09,2,3712121388.8098984,-0.0020982206188840044
2021-12-10,2,3657862883.25,-0.01480387426465463
2021-12-13,2,3444985258.2828445,-0.054939479986456895
2021-12-14,2,3364993115.1673794,-0.030448593959724053
2021-12-15,2,3412935945.371935,0.008739746528253569
2021-12-16,2,3320023084.204216,-0.023781960824122567
2021-12-17,2,3423899341.9732857,0.03489231095521986
2021-12-20,2,3443277044.3412285,-0.01348425781486549
2021-12-21,2,3502680911.0559063,0.019179226933868
2021-12-22,2,3525582922.216816,0.009428934212649419
2021-12-23,2,3755705947.470808,0.055299783157688756
2021-12-27,2,3733140341.5126,-0.0059672828386901555
