epoch,train_loss,val_loss,train_mean_return,train_mean_log1p_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,train_weight_stagnation,train_weight_change_floor,train_objective_raw,train_loss_shift,train_objective_nonnegative,val_mean_return,val_mean_log1p_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify,val_weight_stagnation,val_weight_change_floor,val_objective_raw,val_loss_shift,val_objective_nonnegative,lr
1,0.008756366985229155,0.00926288558791081,0.0003549598720079909,0.00034060208599839825,0.00040037415965343826,0.00022673044198503098,2.8489472166863077e-05,0.0,5.8004229123535346e-08,0.0,0.019899620519330103,0.009773719434936842,-0.0012436430818828133,0.010000010021030903,0.008756366985229155,0.00021527008114693066,0.00019472266042915484,0.00024408690903025368,1.1756591788980586e-07,4.0911381802288815e-05,0.0,1.2599364650999647e-14,0.0,0.019999917596578598,0.009999881188074747,-0.0007371242778996626,0.010000010021030903,0.00926288558791081,5e-05
2,0.008751321118324995,0.0092573386306564,0.0003564100661606062,0.00034189284027282457,0.00040224103334670264,0.0007078607838290433,2.8806368542670196e-05,0.0,4.309439430490632e-07,0.0,0.019680179965992767,0.0092923059904327,-0.0012486889318097383,0.010000010021030903,0.008751321118324995,0.00021688527582834163,0.0001961826637852937,0.00024595346379404265,2.2034573513944147e-07,4.121996729130236e-05,0.0,4.230577431704625e-14,0.0,0.019999828810493153,0.00999977874259154,-0.0007426713515693942,0.010000010021030903,0.0092573386306564,5e-05
3,0.00874644898188611,0.009251257094244162,0.0003578087768498032,0.0003431164368521422,0.00040411590695536387,0.001207956481569757,2.9154145371042734e-05,0.0,1.2082055794356468e-06,0.0,0.01945205871015787,0.008793338978042206,-0.0012535610415701133,0.010000010021030903,0.00874644898188611,0.00021866380120627582,0.00019778908851246038,0.0002479599788784981,3.0538873829755175e-07,4.156226471726162e-05,0.0,7.913313604289544e-14,0.0,0.01999974250793457,0.009999693371355534,-0.0007487529267867407,0.010000010021030903,0.009251257094244162,5e-05
4,0.008740305706548194,0.009244445711374283,0.0003595643441561454,0.0003446775141734785,0.0004064498037526694,0.0017404229438398033,2.9540463553227408e-05,0.0,2.516570361876802e-06,0.0,0.019216895724336307,0.008258087482924262,-0.0012597043193333473,0.010000010021030903,0.008740305706548194,0.00022065932474409541,0.00019958991712580124,0.00025019201954516274,3.949102544235454e-07,4.194946389664741e-05,0.0,1.3186875907639922e-13,0.0,0.01999966117242972,0.009999603343506655,-0.0007555645812923709,0.010000010021030903,0.009244445711374283,5e-05
5,0.008734891617981097,0.009236630673209826,0.00036112168891122565,0.0003460139438781577,0.00040859395206401433,0.002312368121541416,2.9979567367869702e-05,0.0,4.4585095224647375e-06,0.0,0.01895176883166035,0.007691604667343199,-0.001265118417601722,0.010000010021030903,0.008734891617981097,0.00022294934024102986,0.0002016544749494642,0.0002527555140356223,4.6846847112647083e-07,4.239789329100555e-05,0.0,1.8645614972790867e-13,0.0,0.01999957611163457,0.00999952976902326,-0.0007633793090159694,0.010000010021030903,0.009236630673209826,5e-05
6,0.008726941654458642,0.009227711707353592,0.0003634257579202919,0.00034806732279927627,0.0004114191178814508,0.002991995483171195,3.0478559286469437e-05,0.0,7.264509008564346e-06,0.0,0.018647522665560246,0.00701265421230346,-0.001273068332617792,0.010000010021030903,0.008726941654458642,0.00022556362091563642,0.00020400864499000212,0.00025568479516853887,5.505438120205023e-07,4.2915137479819045e-05,0.0,2.559305080868911e-13,0.0,0.019999491050839424,0.009999447191754976,-0.0007722981196517745,0.010000010021030903,0.009227711707353592,5e-05
7,0.008717468241229653,0.009217096182207266,0.000366105568294491,0.00035044876555427135,0.0004151758427421252,0.0036820198486869535,3.106906638095097e-05,0.0,1.1032021954330654e-05,0.0,0.01834487309679389,0.006393806970057388,-0.0012825416755125236,0.010000010021030903,0.008717468241229653,0.00022867296744758883,0.000206804999227946,0.0002591952894969533,6.321987389886393e-07,4.3537759362758756e-05,0.0,3.499153639728812e-13,0.0,0.019999384880065918,0.009999366166690985,-0.0007829137224083146,0.010000010021030903,0.009217096182207266,5e-05
8,0.008711942355148494,0.009205709211528301,0.0003677235508803278,0.00035169825120343984,0.0004176228612777777,0.00443877256475389,3.18034251449717e-05,0.0,1.6313208561768988e-05,0.0,0.017980232524375122,0.005798288310567538,-0.0012880677289407079,0.010000010021030903,0.008711942355148494,0.00023204075599399707,0.00020982914914687475,0.00026278937002643943,7.317399498181961e-07,4.422120279438483e-05,0.0,4.790241192713837e-13,0.0,0.019999281813700993,0.009999266515175501,-0.0007943005378668507,0.010000010021030903,0.009205709211528301,5e-05
9,0.008698556339368224,0.009192999452352524,0.0003715881114961424,0.000355175199729274,0.00042236481143239263,0.005388155812397599,3.257326314572614e-05,0.0,2.246719759568805e-05,0.0,0.017633250759293635,0.005013042905678351,-0.0013014536574094866,0.010000010021030903,0.008698556339368224,0.00023581314599141479,0.00021321099484339356,0.0002667427664467444,8.38694783548514e-07,4.499797372166844e-05,0.0,6.360096368833446e-13,0.0,0.019999183093508083,0.009999159723520279,-0.0008070107627039155,0.010000010021030903,0.009192999452352524,5e-05
10,0.008683035965077579,0.009178510556618372,0.000376036943634972,0.0003591675407127089,0.0004280754668191851,0.006264626009700199,3.347945653331408e-05,0.0,3.1647025934944395e-05,0.0,0.0171633663897713,0.004566261700044076,-0.0013169741359888576,0.010000010021030903,0.008683035965077579,0.00024013090296648443,0.00021707443132375678,0.000271172010495017,9.543744946919712e-07,4.590156337750765e-05,0.0,8.337873577332622e-13,0.0,0.01999908561507861,0.00999904361863931,-0.000821499697243174,0.010000010021030903,0.009178510556618372,5e-05
