date,ret_online_compound,ret_offline_compound_static,ret_5050,ret_market_only,ret_ipo_only,weight_ipo_online_compound,weight_ipo_offline_compound_static
2021-07-19,-0.0077700637751099,-8.3131265e-05,-0.007833624287741231,-0.0156708806753158,3.6320998333394527e-06,0.5040549635887146,0.9944647
2021-07-20,0.0154454540707397,0.016361594,0.01543769706040615,0.014504600316286,0.0163707938045263,0.5042738914489746,0.99507105
2021-07-21,0.0106022926730619,0.012983326,0.0105819380842149,0.0081566600129008,0.013007216155529,0.5042095184326172,0.99507457
2021-07-22,0.001369941951505,0.00089623616,0.00137400979292575,0.0018567600054666,0.0008912595803849,0.5041069388389587,0.9948455
2021-07-23,0.0056307104689085,0.0017379676,0.005663035495672351,0.0096300998702645,0.0016959711210802,0.504069447517395,0.9947069
2021-07-26,-0.0038106236497029,-0.009790063,-0.0037063695490360494,0.0024443799629807,-0.0098571190610528,0.5081437230110168,0.994549
2021-07-27,-0.0109428659643067,-0.017451994,-0.010833621723577349,-0.0041422001086175,-0.0175250433385372,0.5081616640090942,0.9945416
2021-07-28,0.0126287113642356,0.025654193,0.0124049694277346,-0.0009831199422478,0.025793058797717,0.5083635449409485,0.9948138
2021-07-29,0.0015749311374646,-0.00089212984,0.0016170903982129,0.0041527599096298,-0.000918579113204,0.5083009004592896,0.99478453
2021-07-30,-0.0072321147823809,-0.009684798,-0.0071905818767845,-0.0046695200726389,-0.0097116436809301,0.5082213878631592,0.9946759
2021-08-02,0.0080861228871943,0.01785105,0.00782789394725115,-0.0023022999521344,0.0179580878466367,0.5129804015159607,0.9947168
2021-08-03,0.0090898238185238,0.010031939,0.00906423479318615,0.0080865798518061,0.0100418897345662,0.51319819688797,0.9949102
2021-08-04,0.0173150816912264,0.03885618,0.0167329567484558,-0.005622980184853,0.0390888936817646,0.5130233764648438,0.99479526
2021-08-05,0.00586964318606,0.005232392,0.00588685227558015,0.0065482798963785,0.0052254246547818,0.5129640698432922,0.9947332
2021-08-06,-0.0006888809658279,-0.0033220956,-0.0006186512764543,0.0021144200582057,-0.0033517226111143,0.512822151184082,0.9945799
2021-08-09,0.0049106404421712,0.0104952045,0.00470718019641935,-0.0011480799876153,0.010562440380454,0.5177991390228271,0.9942585
2021-08-10,-0.0023085212190467,-0.00611585,-0.0021659639314748503,0.0018300799420103,-0.00616200780496,0.5178330540657043,0.9942246
2021-08-11,0.0042828501313128,0.0053108134,0.00424435001332305,0.0031653998885303,0.0053233001381158,0.5178487300872803,0.9942135
2021-08-12,-0.0023223763698153,-0.0068563167,-0.00215427274815735,0.0026046000421047,-0.0069131455384194,0.517640233039856,0.99402916
2021-08-13,0.0056050654504045,0.0093171615,0.0054694103891961,0.0015733999898657,0.0093654207885265,0.5174357295036316,0.9938066
