,OGD,EQW,SPY,IPO
2020-10-22,0.02744399908460802,0.03570315466004405,0.0054853060356472305,0.06592100328444087
2020-10-23,-0.012508920058993248,-0.028579588501442328,0.0033952154871443874,-0.060554392490029044
2020-10-26,-0.017819663707311358,-0.017070160861470188,-0.018479800088835097,-0.01566052163410528
2020-10-27,0.006850163755505036,0.01998351746547174,-0.003447241437786519,0.04341427636873
2020-10-28,-0.028599971974641876,-0.020599172435998372,-0.034179200622504236,-0.00701914424949251
2020-10-29,0.011911265789964303,0.014734656487820297,0.01016330946784838,0.019306003507792213
2020-10-30,-0.02013018226508656,-0.03784753520633312,-0.010424515465938256,-0.06527055494672798
2020-11-02,0.014421488867354393,0.017703621859099967,0.011208178838596483,0.02419906487960345
2020-11-03,0.021979910631191823,0.029155017308037587,0.017655965987815714,0.04065406862825946
2020-11-04,0.027624857293993617,0.03753484793639787,0.022349197242496288,0.05272049863029946
2020-11-05,0.03244588132547538,0.04602494475976329,0.01950265734206913,0.07254723217745745
2020-11-06,0.004743009969434532,0.013223983952337622,-0.00022816496870936565,0.02667613287338461
2020-11-09,0.0014245115666995448,-0.020103696492920563,0.012565626463275414,-0.05277301944911654
2020-11-10,-0.008070423266192218,-0.015187951546024238,-0.0014666688643395487,-0.028909234227708927
2020-11-11,0.013445411632099887,0.02401538320125904,0.007428596917335328,0.04060216948518275
2020-11-12,0.005036379824442315,0.019620562407983023,-0.009700771449971946,0.04894189626593799
2020-11-13,0.01699003894975476,0.022029082733517023,0.013844343989654728,0.03021382147737932
2020-11-16,0.015297557818081942,0.020395305352088874,0.01248266729157943,0.028307943412598315
2020-11-17,0.005758345752036019,0.017093859612454,-0.005378477433413353,0.039566196658321354
2020-11-18,-0.007396018827864012,0.0002511604327783308,-0.01203472944619377,0.012537050311750432
2020-11-19,0.010474439198844152,0.022149872880815425,0.004209943336014987,0.04008980242561586
2020-11-20,0.0011100979180615157,0.009423692563387518,-0.006847612383716228,0.025694997510491265
2020-11-23,0.026216815807033614,0.06042870290602977,0.005994407708056482,0.11486299810400306
2020-11-24,0.017943132643739056,0.021442535237348896,0.016113791523040266,0.026771278951657523
2020-11-25,0.013148591882356427,0.02886857900621976,-0.00154170573432999,0.05927886374676951
2020-11-27,0.008590289771897228,0.018661599600915242,0.0027849862597506547,0.03453821294207983
2020-11-30,-0.0072125195434370685,-0.012680760715929723,-0.0044270996493745995,-0.020934421782484846
2020-12-01,-0.004323509536802557,-0.0210440396930092,0.010937327140465802,-0.0530254065264842
2020-12-02,-0.0037872394076480043,-0.014260201886021378,0.0021037186296739563,-0.030624122401716712
2020-12-03,0.014734048106894854,0.02978901119190752,-0.0002727401216293668,0.0598507625054444
2020-12-04,0.016109540901245153,0.02822535627028436,0.008617877006937169,0.04783283553363155
2020-12-07,0.006621033430131176,0.022450800374213296,-0.002054946950340253,0.046956547698766844
2020-12-08,0.007641605201651535,0.012486225305980392,0.002926205641022861,0.022046244970937923
2020-12-09,-0.016436533014933582,-0.028807710805584825,-0.008968972992591029,-0.04864644861857862
2020-12-10,0.003755133055963079,0.011388797727247891,-0.00032710930686385975,0.023104704761359642
2020-12-11,-0.009543182969448618,-0.01834193958843863,-0.001172607292045269,-0.03551127188483199
2020-12-14,-0.011026128372639867,-0.02213410584522096,-0.004477326192031117,-0.039790885498410804
2020-12-15,0.0099370390672872,0.003072640728738467,0.013519578634202167,-0.0073742971767252335
2020-12-16,0.005100412029761551,0.008898485659863793,0.0015694997552653245,0.016227471564462262
2020-12-17,0.0072320083416874984,0.010081872488531072,0.005591871683631622,0.014571873293430522
2020-12-18,0.002542389288358484,0.015380737749364354,-0.003992924556384558,0.034754400055113266
2020-12-21,0.006854576139993471,0.018326458603223256,-0.0035757253420711788,0.04022864254851769
2020-12-22,-0.002414622267168859,-0.003710311298216514,-0.0016851883039293858,-0.005735434292503642
2020-12-23,-0.003456664120818392,-0.007834202310789141,0.0008986759152094237,-0.016567080536787706
2020-12-24,-0.0009986092250939133,-0.008882306646457712,0.0038904989358985453,-0.02165511222881397
2020-12-28,-0.00470893794346859,-0.028846107975564722,0.00859065670951531,-0.06628287266064475
2020-12-29,-0.002214322904751831,-0.0025288157159503687,-0.001907678615051811,-0.0031499528168489263
2020-12-30,0.0023732265233984366,0.003931166525957018,0.0014267387977549006,0.006435594254159136
2020-12-31,-0.0008468786161836784,-0.011838519273420162,0.005080816104988228,-0.028757854651828552
2021-01-04,-0.014371886474788376,-0.01516507382958565,-0.013614019710397551,-0.016716127948773748
2021-01-05,0.011207830620582108,0.018470718287151314,0.006887219258187027,0.030054217316115597
2021-01-06,-0.000750879200319958,-0.013496626306536964,0.005978625140723226,-0.03297187775379715
2021-01-07,0.031464360022189095,0.049193390284915414,0.014857427716151506,0.08352935285367932
2021-01-08,0.006721871721716448,0.0084788780360417,0.005697842560448585,0.011259913511634814
2021-01-11,-0.005689262711141913,-0.003654702718318802,-0.006740673158384003,-0.0005687322782536011
2021-01-12,0.016376184625222424,0.03397108582039779,0.00021099104496680177,0.06773118059582878
2021-01-13,0.0041610577483863695,0.0067282290044202745,0.002692934516636436,0.010763523492204113
2021-01-14,0.0008723095323521189,0.009491871917397966,-0.003502086670016946,0.022485830504812877
2021-01-15,-0.014099168073798136,-0.021632220575852977,-0.0072924288141640314,-0.03597201233754192
2021-01-19,0.010736327619664546,0.015868841505495543,0.007851917469328562,0.023885765541662524
2021-01-20,0.006270628549318037,-0.0013775651390004022,0.01383881686076327,-0.016593947138764074
