epoch,train_loss,val_loss,lr,train_mean_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,train_excess_vs_ew,val_mean_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify,val_excess_vs_ew
1,0.05823622177558718,-0.004410239867866039,0.0003,0.001898162234283518,0.002067730329144979,0.016072029247879982,0.00039497992111137137,0.060970716178417206,0.0004313414101488888,0.0,0.00012328606226219563,0.0029657650738954544,0.0030509154312312603,0.0,0.00016196643991861492,0.0,0.0,0.0,0.00015532148245256394
2,0.04866202617995441,-0.00439067417755723,2.9999999999999997e-05,0.0018673614358704071,0.0020238944634911604,0.016462973318994045,0.0003627265468821861,0.05135992914438248,0.00043572815775405616,0.0,8.571484613639768e-05,0.0029524059500545263,0.0030373658519238234,0.0,0.00016082925139926374,0.0,0.0,0.0,0.0001419623731635511
3,0.0496177299937699,-0.004372109193354845,2.9999999999999997e-05,0.0018067926284857094,0.0019590295560192317,0.015890951734036207,0.0003667210003186483,0.05222063511610031,0.0004215676599415019,0.0,7.327218145292136e-05,0.0029397313483059406,0.003024511272087693,0.0,0.00015975555288605392,0.0,0.0,0.0,0.0001292879314860329
4,0.047891006421195925,-0.004352811723947525,2.9999999999999997e-05,0.0021149566455278546,0.00226723711239174,0.01600144524127245,0.0003687571515911259,0.050955161452293396,0.00041050842264667153,0.0,6.64832373331592e-05,0.0029265580233186483,0.003011152148246765,0.0,0.00015864546003285795,0.0,0.0,0.0,0.00011611428635660559
5,0.04700102866627276,-0.004333049058914185,2.9999999999999997e-05,0.0016839332529343665,0.0018475242832209915,0.014356781728565693,0.0003588878025766462,0.04942924529314041,0.0003424117458052933,0.0,4.4764417452825e-05,0.0029130696784704924,0.0029974740464240313,0.0,0.00015751514001749456,0.0,0.0,0.0,0.00010262585419695824
6,0.049935160466702655,-0.004314223770052195,2.9999999999999997e-05,0.001878381153801456,0.0020400389475980774,0.014909798745065928,0.0003694386105053127,0.05264880508184433,0.0003631517320172861,0.0,6.02773161517689e-05,0.002900222083553672,0.002984447404742241,0.0,0.00015644484665244818,0.0,0.0,0.0,8.977844117907807e-05
7,0.038348670641426,-0.004294946789741516,2.9999999999999997e-05,0.0015871613650233485,0.0017460289745940827,0.015758133959025145,0.0003387815013411455,0.04063941538333893,0.0003972125705331564,0.0,4.082630948687438e-05,0.0028870687820017338,0.0029711108654737473,0.0,0.00015535492275375873,0.0,0.0,0.0,7.662521238671616e-05
8,0.03315429948270321,-0.004276053048670292,2.9999999999999997e-05,0.0017224899493157864,0.0018957755237352103,0.015042316634207964,0.00032703410397516564,0.03566112369298935,0.00037669690209440887,0.0,3.5047116568875936e-06,0.0028741785790771246,0.002958041150122881,0.0,0.00015429254563059658,0.0,0.0,0.0,6.373487849486992e-05
9,0.0471145773481112,-0.004258731845766306,2.9999999999999997e-05,0.0018848488689400256,0.0020566548337228596,0.017571790143847466,0.0003645708493422717,0.04984541982412338,0.0004836480366066098,0.0,4.884103827862418e-05,0.0028623624239116907,0.0029460624791681767,0.0,0.00015332405746448785,0.0,0.0,0.0,5.191889067646116e-05
10,0.03256693834555335,-0.004242859315127134,2.9999999999999997e-05,0.0018164358916692436,0.001967860240256414,0.016010455787181854,0.00032880822618608363,0.03520285338163376,0.0004577967192744836,0.0,6.596521188839688e-06,0.002851536264643073,0.002935087075456977,0.0,0.0001524411782156676,0.0,0.0,0.0,4.109278233954683e-05
