date,AESI,AIXI,ASST,ATMC,BFRG,BMR,CVKD,GNLX,GPCR,HSAI,ICG,IZM,MLYS,NXT,SKWD,TXO
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-19,0.0,0.0,0.0,0.030216880990544672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9697831190094554,0.0
2023-01-20,0.0,0.0,0.0,0.026016410095076464,0.0,0.0,0.14615870514916537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8278248847557581,0.0
2023-01-23,0.0,0.0,0.0,0.02620231771040357,0.0,0.0,0.14005734072519488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8337403415644016,0.0
2023-01-24,0.0,0.0,0.0,0.026943939420749678,0.0,0.0,0.11756855437964743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8554875061996029,0.0
2023-01-25,0.0,0.0,0.0,0.02746442002506805,0.0,0.0,0.1082824128732743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8642531671016577,0.0
2023-01-26,0.0,0.0,0.0,0.02090344186727765,0.0,0.0,0.08055032749749272,0.22240849832447618,0.0,0.0,0.0,0.0,0.0,0.0,0.6761377323107535,0.0
2023-01-27,0.0,0.0,0.0,0.01243086758633106,0.0,0.0,0.0440605239312551,0.1288694966053713,0.0,0.0,0.0,0.0,0.0,0.0,0.39581591625823875,0.4188231956188038
2023-01-30,0.0,0.0,0.0,0.012626352582415932,0.0,0.0,0.04398592130106262,0.1272261533197063,0.0,0.0,0.0,0.0,0.0,0.0,0.39960038236011786,0.41656119043669726
2023-01-31,0.0,0.0,0.0,0.0123772675794237,0.0,0.0,0.04673365104877436,0.12275505293665888,0.0,0.0,0.0,0.0,0.0,0.0,0.3918563577318442,0.42627767070329886
2023-02-01,0.0,0.0,0.0,0.012304547795468175,0.0,0.0,0.047277961948332795,0.12252392456429986,0.0,0.0,0.0,0.0,0.0,0.0,0.39355277158577484,0.4243407941061243
2023-02-02,0.0,0.0,0.0,0.012227984674876555,0.0,0.0,0.04268233087845498,0.12409089264395354,0.0,0.0,0.0,0.0,0.0,0.0,0.39591431081468714,0.42508448098802776
2023-02-03,0.0,0.0,0.8251164034938445,0.0011448568826034832,0.0,0.0,0.0037281521328488346,0.011012462455125369,0.08134708839844053,0.0,0.0,0.0,0.0,0.0,0.03736382471694388,0.04028721192019343
2023-02-06,0.0,0.0,0.7755683122821612,0.0014981117404621429,0.0,0.0,0.004573597171826771,0.01505839863802971,0.1013297279383782,0.0,0.0,0.0,0.0,0.0,0.04927670864118224,0.05269514358795971
2023-02-07,0.0,0.0,0.7683488599696124,0.0015605335077593504,0.0,0.0,0.004564586896766392,0.01543937089790568,0.10266237498916853,0.0,0.0,0.0,0.0,0.0,0.05242633717947979,0.05499793655930787
2023-02-08,0.0,0.0,0.7548565878353395,0.001693412166905591,0.0,0.0,0.004494623838471123,0.01649087303951834,0.10738571748358594,0.0,0.0,0.0,0.0,0.0,0.05573527428385345,0.059343511352326156
2023-02-09,0.0,0.0,0.47166244987507444,0.0012448315451385169,0.0,0.0,0.0032315233232179897,0.012358913952765912,0.07690236117417298,0.13167396232960638,0.0,0.0,0.0,0.21737596558460812,0.04192642769027676,0.04362356452513887
2023-02-10,0.0,0.0,0.4175492327086971,0.001183974732965399,0.0,0.0,0.0031915896608962504,0.012228760015407026,0.0742964536576437,0.1321203095331899,0.0,0.0,0.06673464356888197,0.21054851401567204,0.040515429801498,0.04163109230514867
2023-02-13,0.0,0.0,0.42627233817416654,0.0011496270833956546,0.0,0.0,0.0030824553701615603,0.01208860448876937,0.07431324685450447,0.12957568128122027,0.0,0.0,0.06512950771247013,0.20707812372382522,0.04075882635698724,0.04055158895449957
2023-02-14,0.0,0.0,0.0002571552467998117,0.00025840557646006346,0.0002077850658679381,0.0,0.0001764067856129259,0.9973765015602112,0.0001071943697752431,0.0002091387432301417,0.0,0.0,0.0004189759201835841,0.0002743485092651099,0.00040465808706358075,0.0003094571875408292
2023-02-15,0.0,0.0,0.0002628394868224859,0.00026590656489133835,0.00021402309357654303,0.0,0.0001783348707249388,0.9972999691963196,0.00011138762783957645,0.0002158235147362575,0.0,0.0,0.00042683203355409205,0.0002822239766828716,0.0004190998151898384,0.00032367321546189487
2023-02-16,0.0,0.0,0.00027608341770246625,0.0002811058657243848,0.00022940982307773083,0.0,0.00018546395585872233,0.9971407055854797,0.00011999569687759504,0.0002316889731446281,0.0,0.0,0.000444077915744856,0.0002973694063257426,0.00044186681043356657,0.00035226510954089463
2023-02-17,0.0,0.0,0.00030135587439872324,0.0003189390990883112,0.0002690858964342624,0.0,0.0002021841937676072,0.9967637658119202,0.000138341129058972,0.00026880783843807876,0.0,0.0,0.0004908060654997826,0.00032682213350199163,0.0004887925460934639,0.0004311440570745617
2023-02-21,0.0,0.0,0.0002925351436715573,0.00030727055855095387,0.0002562918816693127,0.0,0.0001931574661284685,0.9968987107276917,0.00013167673023417592,0.0002563158341217786,0.0,0.0,0.0004738258430734277,0.0003152440767735243,0.00046913878759369254,0.00040585172246210277
