epoch,train_loss,val_loss,lr,train_mean_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,train_excess_vs_ew,val_mean_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify,val_excess_vs_ew
1,0.03913946774264332,-0.003958092071115971,0.0003,0.0014639201908721589,0.0015981066026142798,0.018009156920015812,0.0003404449853405822,0.041232168674468994,0.0004948773712385446,0.0,3.331808875373099e-05,0.002659441437572241,0.0027449827175587416,0.0,0.00014768130495212972,0.0,0.0,0.0,4.979775894753402e-06
2,0.03498679638141766,-0.003935159184038639,2.9999999999999997e-05,0.0017073011549655348,0.0018492143135517836,0.013018239289522171,0.00032361432022298686,0.03745687007904053,0.0002779516507871449,0.0,4.698197834329676e-06,0.002643801271915436,0.0027291174046695232,0.0,0.00014640178414992988,0.0,0.0,0.0,-1.0660398402251303e-05
3,0.03225956889218651,-0.003915575332939625,2.9999999999999997e-05,0.0016058277105912566,0.0017437064670957625,0.013373637106269598,0.00031414148179464974,0.03458014875650406,0.0002845210547093302,0.0,-7.715545734754414e-06,0.002630450064316392,0.0027155603747814894,0.0,0.00014530945918522775,0.0,0.0,0.0,-2.4011691493797116e-05
4,0.04493563617870677,-0.003898520255461335,2.9999999999999997e-05,0.0018979422166012228,0.002043925785983447,0.012612330261617899,0.0003542799677234143,0.047678373754024506,0.00026229910872643813,0.0,-3.10491145683045e-05,0.002618825761601329,0.002703765407204628,0.0,0.00014437688514590263,0.0,0.0,0.0,-3.5635446693049744e-05
5,0.03972796072775964,-0.0038790516555309296,2.9999999999999997e-05,0.001610140228876844,0.0017568954644957557,0.012807508930563927,0.0003324244426039513,0.0420503094792366,0.0002659548699739389,0.0,-3.0488226826719256e-05,0.0026055574417114258,0.0026903008110821247,0.0,0.0001433121506124735,0.0,0.0,0.0,-4.890439231530763e-05
6,0.03297142691008048,-0.0038571995683014393,2.9999999999999997e-05,0.0016469203837914392,0.0017676482675597072,0.012789285276085138,0.0003242697384848725,0.03534001111984253,0.00025736137467902154,0.0,-4.2583765662129736e-05,0.002590665826573968,0.002675192430615425,0.0,0.00014212456881068647,0.0,0.0,0.0,-6.379547266988084e-05
7,0.031787561762030236,-0.003836093470454216,2.9999999999999997e-05,0.0014924634015187621,0.0016491019632667303,0.012922261841595173,0.0003025818587047979,0.03395325690507889,0.00026745477225631475,0.0,-4.0207092752098106e-05,0.0025762845762073994,0.0026606032624840736,0.0,0.00014098537212703377,0.0,0.0,0.0,-7.817702135071158e-05
8,0.04646901073283516,-0.003814947558566928,2.9999999999999997e-05,0.0016253197900368832,0.0017538704560138285,0.012623969465494156,0.0003494657539704349,0.048796504735946655,0.00026257515128236264,0.0,-4.219720449327724e-05,0.0025618786457926035,0.002645989414304495,0.0,0.00013985176337882876,0.0,0.0,0.0,-9.258311183657497e-05
9,0.029584641102701426,-0.0037937196902930737,2.9999999999999997e-05,0.001615620218217373,0.001744048233376816,0.012821774929761887,0.0002971725843963213,0.031923674046993256,0.0002604014298412949,0.0,-4.927889085593051e-05,0.0025474191643297672,0.0026313229463994503,0.0,0.00013872209819965065,0.0,0.0,0.0,-0.00010704255691962317
10,0.025564743322320282,-0.0037715104408562183,2.9999999999999997e-05,0.0017143081640824676,0.0018462923653714824,0.013883302919566631,0.0002938327415904496,0.028055250644683838,0.000305936235236004,0.0,-6.43514554212743e-05,0.0025322935543954372,0.002615982200950384,0.0,0.0001375485007883981,0.0,0.0,0.0,-0.00012216805771458894
11,0.028099310111429077,-0.0037510222755372524,2.9999999999999997e-05,0.001508870926045347,0.0016364538241759874,0.013373786583542824,0.00028920970362378284,0.030281774699687958,0.0002900280669564381,0.0,-9.35729940465535e-05,0.0025183423422276974,0.002601832849904895,0.0,0.00013647324522025883,0.0,0.0,0.0,-0.00013611956092063338
12,0.03346069043618627,-0.0037303734570741653,2.9999999999999997e-05,0.001601603566086851,0.001753035539877601,0.013598247431218624,0.0003102514674537815,0.03578365594148636,0.0003016849950654432,0.0,-7.861246194806881e-05,0.002504283795133233,0.0025875763967633247,0.0,0.00013539700012188405,0.0,0.0,0.0,-0.00015017759869806468
13,0.029857789471861906,-0.0037100797053426504,2.9999999999999997e-05,0.0017531318662804551,0.0018889880157075822,0.01347626093775034,0.00030521858207066543,0.032402776181697845,0.0002886085712816566,0.0,-9.428932116861688e-05,0.002490356331691146,0.002573785139247775,0.0,0.00013433823187369853,0.0,0.0,0.0,-0.00016410522221121937
14,0.028569276226335205,-0.0036881775595247746,2.9999999999999997e-05,0.0015240267821354792,0.0016634599305689335,0.012376188766211271,0.00030756674095755443,0.030771225690841675,0.0002451442342135124,0.0,-0.00010266044955642428,0.002475238870829344,0.002559075364843011,0.0,0.0001331977400695905,0.0,0.0,0.0,-0.0001792228576960042
15,0.019325762521475554,-0.0036661571357399225,2.9999999999999997e-05,0.001260631310287863,0.0014047851582290605,0.013428207952529192,0.0002888990020437632,0.021144308149814606,0.000286916212644428,0.0,-7.385793287539855e-05,0.002460043178871274,0.0025442882906645536,0.0,0.00013206031871959567,0.0,0.0,0.0,-0.00019441866606939584
16,0.036150105035630986,-0.0036468682810664177,2.9999999999999997e-05,0.001964003502507694,0.0020779657825187314,0.013810863718390465,0.0003114010578428861,0.038997359573841095,0.000308592410874553,0.0,-0.0001659316312725423,0.0024467359762638807,0.0025313361547887325,0.0,0.00013107139966450632,0.0,0.0,0.0,-0.00020772582502104342
17,0.014074648221139796,-0.003624305361881852,2.9999999999999997e-05,0.0015330221358453855,0.0016562029923079535,0.015019507613033056,0.0002830021476256661,0.01629423350095749,0.0003731678007170558,0.0,-0.00011238209663133603,0.0024311733432114124,0.00251618679612875,0.0,0.0001299229625146836,0.0,0.0,0.0,-0.00022328821069095284
18,0.023561930807773024,-0.0036029270850121975,2.9999999999999997e-05,0.001536831507110037,0.0016728954506106675,0.013762170914560556,0.00028745578310918063,0.025791451334953308,0.0003094444255111739,0.0,-0.0001772262894519372,0.0024164319038391113,0.0025018344167619944,0.0,0.00012884386524092406,0.0,0.0,0.0,-0.00023802982468623668
19,0.020646920034778304,-0.0035844757221639156,2.9999999999999997e-05,0.0016104706737678498,0.0017282173939747736,0.012892831582576036,0.00026596253883326426,0.022988490760326385,0.0002706900704652071,0.0,-0.00014971122800488956,0.002403711434453726,0.002489448059350252,0.0,0.00012791951303370297,0.0,0.0,0.0,-0.0002507505123503506
20,0.01667097934114281,-0.003565804101526737,2.9999999999999997e-05,0.0014466033171629533,0.0015758863155497238,0.013597942423075438,0.0002657721415744163,0.018772609531879425,0.0002965416933875531,0.0,-0.00016206206419155933,0.002390839857980609,0.00247691897675395,0.0,0.00012699031503871083,0.0,0.0,0.0,-0.0002636217977851629
21,0.019646380278572906,-0.0035487706772983074,2.9999999999999997e-05,0.001778054782334948,0.0018811278932844289,0.014131972566246986,0.00026251671806676313,0.022233709692955017,0.00031232771289069206,0.0,-0.00016091383304228657,0.002379100304096937,0.0024654888547956944,0.0,0.00012614807928912342,0.0,0.0,0.0,-0.0002753616136033088
22,0.018264891259605065,-0.003535290015861392,2.9999999999999997e-05,0.0014798831834923476,0.0016339574940502644,0.013790848664939404,0.0002641631472215522,0.020429641008377075,0.0003058027650695294,0.0,-0.00016466320175823057,0.0023698110599070787,0.0024564433842897415,0.0,0.0001254855887964368,0.0,0.0,0.0,-0.00028465065406635404
23,0.014465310638115625,-0.003520976984873414,2.9999999999999997e-05,0.0015551512224192265,0.0016844814599608071,0.013811142183840275,0.0002663915256562177,0.01672947406768799,0.0003215964388800785,0.0,-0.0001690555855020648,0.0023599497508257627,0.0024468402843922377,0.0,0.0001247854088433087,0.0,0.0,0.0,-0.0002945117012131959
24,0.012039671812090091,-0.003503688843920827,2.9999999999999997e-05,0.0013902251230319962,0.0015202447393676266,0.014858946204185486,0.0002687054584384896,0.014055632054805756,0.00034717677044682205,0.0,-0.00019639127276604995,0.0023480404634028673,0.002435240661725402,0.0,0.000123943857033737,0.0,0.0,0.0,-0.0003064213669858873
25,0.010439264704473317,-0.003487715497612953,2.9999999999999997e-05,0.0015074104012455791,0.001622713083634153,0.013940953183919191,0.00026184045054833405,0.012627080082893372,0.0003136146697215736,0.0,-0.00018597250891616568,0.0023371807765215635,0.0024242510553449392,0.0,0.00012318146764300764,0.0,0.0,0.0,-0.00031728067551739514
26,0.010357078688684851,-0.0034736066590994596,2.9999999999999997e-05,0.001299192605074495,0.0014306912635220215,0.014385797083377838,0.0002553707563492935,0.012243896722793579,0.0003405241295695305,0.0,-0.00018244236858322438,0.002327592810615897,0.002414539223536849,0.0,0.0001225114392582327,0.0,0.0,0.0,-0.0003268687578383833
27,0.021163429293665104,-0.003460081061348319,2.9999999999999997e-05,0.0015215921448543668,0.0016646176663925871,0.014255377929657698,0.00028111334177083336,0.023376740515232086,0.0003247019194532186,0.0,-0.0002438134852127405,0.002318401588127017,0.0024052290245890617,0.0,0.00012186991079943255,0.0,0.0,0.0,-0.00033606006763875484
28,0.01641350515455997,-0.003443637862801552,2.9999999999999997e-05,0.0013769704928563442,0.0014999565319158137,0.013597078155726194,0.0002639522026584018,0.01840844750404358,0.000307301088469103,0.0,-0.00019428169525781414,0.002307229908183217,0.0023939127568155527,0.0,0.00012109715316910297,0.0,0.0,0.0,-0.00034723198041319847
29,0.00934842083370313,-0.0034249096643179655,2.9999999999999997e-05,0.0015312149334931746,0.0016482037317473441,0.015132759232074022,0.0002443210905767046,0.01158154010772705,0.0003687105927383527,0.0,-0.0002110182813339634,0.0022945068776607513,0.0023810300044715405,0.0,0.00012022420560242608,0.0,0.0,0.0,-0.00035995483631268144
30,0.01731614788150182,-0.0034065658692270517,2.9999999999999997e-05,0.0016319308779202402,0.0017592479998711497,0.014456673059612513,0.00027238747134106234,0.019691474735736847,0.0003464732290012762,0.0,-0.00023834205148887122,0.0022820455487817526,0.002368420362472534,0.0,0.00011937949602724984,0.0,0.0,0.0,-0.00037241619429551065
31,0.00862816208973527,-0.0033874481450766325,2.9999999999999997e-05,0.0016047546960180625,0.0017336172531940974,0.015637759119272232,0.00025541370268911123,0.010971978306770325,0.0003985889779869467,0.0,-0.00022774216995458119,0.0022690598852932453,0.0023552817292511463,0.0,0.00011850542796310037,0.0,0.0,0.0,-0.0003854018577840179
32,0.018206459673820063,-0.003368647303432226,2.9999999999999997e-05,0.0015003090520622209,0.001643900221097283,0.014564270619302988,0.0002718635769269895,0.020392753183841705,0.0003451952652540058,0.0,-0.0002755535351752769,0.0022562893573194742,0.002342367544770241,0.0,0.00011765160888899118,0.0,0.0,0.0,-0.000398172385757789
33,0.011266023153439164,-0.003350844606757164,2.9999999999999997e-05,0.0012448484487777023,0.0013627528824144974,0.013926274608820677,0.00023836407490307465,0.013073034584522247,0.00031068445241544396,0.0,-0.00022678405366605148,0.0022441972978413105,0.0023301406763494015,0.0,0.00011684620403684676,0.0,0.0,0.0,-0.0004102644161321223
34,0.0072383720325888135,-0.0033342107199132442,2.9999999999999997e-05,0.0016881919145816937,0.0018154086283175275,0.01460149371996522,0.00025188547442667186,0.009708292782306671,0.0003280214295955375,0.0,-0.00027821530784422066,0.002232906175777316,0.002318711718544364,0.0,0.00011610235378611833,0.0,0.0,0.0,-0.0004215553926769644
35,0.01601116091478616,-0.0033185563515871763,2.9999999999999997e-05,0.0013910112902522087,0.0015138291928451508,0.016433533281087875,0.0002362672457820736,0.018040910363197327,0.0004232889332342893,0.0,-0.00023477482864109334,0.0022222818806767464,0.0023079554084688425,0.0,0.00011540635750861838,0.0,0.0,0.0,-0.00043217974598519504
36,0.022370678329025395,-0.003302707802504301,2.9999999999999997e-05,0.0016676305676810443,0.0018012838845606893,0.01606674026697874,0.0002670129033504054,0.024805404245853424,0.0003970090619986877,0.0,-0.0003502143645164324,0.002211526967585087,0.0022970663849264383,0.0,0.00011470451136119664,0.0,0.0,0.0,-0.0004429349210113287
37,0.004150751163251698,-0.003285657148808241,2.9999999999999997e-05,0.0012289885780774057,0.001343820353213232,0.01556613389402628,0.0002348961897951085,0.005934163928031921,0.0003786893066717312,0.0,-0.0002357617559027858,0.0021999566815793514,0.002285352209582925,0.0,0.00011395099136279896,0.0,0.0,0.0,-0.00045450494508259
38,0.006767522398149595,-0.0032707361970096827,2.9999999999999997e-05,0.0010917247564066201,0.0012215111346449703,0.015448314137756824,0.00023320914988289587,0.008353359997272491,0.0003806100139627233,0.0,-0.00021641030616592616,0.0021898329723626375,0.0022751023061573505,0.0,0.00011329582775942981,0.0,0.0,0.0,-0.00046462882892228663
39,0.011472140344267245,-0.0032570338808000088,2.9999999999999997e-05,0.0014075540821067989,0.0015198473120108247,0.01545320125296712,0.00022848515800433233,0.013525336980819702,0.00037995971797499806,0.0,-0.000247293564825668,0.0021805367432534695,0.002265691524371505,0.0,0.00011269762762822211,0.0,0.0,0.0,-0.00047392494161613286
40,0.010183311154833063,-0.0032436291221529245,2.9999999999999997e-05,0.001388088581734337,0.0015050489746499807,0.016294105909764767,0.00024388393285335042,0.012201942503452301,0.0004010629781987518,0.0,-0.00030698692899022717,0.0021715275943279266,0.0022563240490853786,0.0,0.00011212100798729807,0.0,0.0,0.0,-0.00048293385771103203
