epoch,train_loss,val_loss,lr,train_mean_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,val_mean_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify
1,0.009929484134772792,-0.0033535861875861883,0.0003,0.0012835088855354115,0.0014093678764766082,0.024045078083872795,0.00023502225303673185,0.011800073087215424,0.0009303776314482093,0.0,0.0022453912533819675,0.002327054040506482,0.0,0.00011066411389037967,0.0,0.0,0.0
2,-0.0014665392955066636,-0.0033412915654480457,2.9999999999999997e-05,0.0012550149695016444,0.001353000057861209,0.022655547596514225,0.00022784915927331895,0.0003509595990180969,0.0009153330756817013,0.0,0.0022371786180883646,0.002318396931514144,0.0,0.00011017081851605326,0.0,0.0,0.0
3,0.006447872061471571,-0.00333146913908422,2.9999999999999997e-05,0.00113777974183904,0.0012560914110508747,0.024844158440828323,0.00021182355339988135,0.008107684552669525,0.001014296052744612,0.0,0.002230618381872773,0.0023114816285669804,0.0,0.00010977991769323125,0.0,0.0,0.0
4,0.006415117211872712,-0.0033202723134309053,2.9999999999999997e-05,0.0014298233218141831,0.0015480696747545153,0.021412106230854988,0.00022034700668882579,0.008508719503879547,0.0008308172691613436,0.0,0.002223142422735691,0.0023035965859889984,0.0,0.00010933680459856987,0.0,0.0,0.0
5,0.010470335691934451,-0.0033105933107435703,2.9999999999999997e-05,0.0015019506390672177,0.0016155285120476037,0.02524897176772356,0.00023466198035748675,0.012662611901760101,0.0010788768413476646,0.0,0.0022166804410517216,0.0022967818658798933,0.0,0.00010895621380768716,0.0,0.0,0.0
6,0.005206259142141789,-0.003296963172033429,2.9999999999999997e-05,0.001118365784350317,0.0012411002680892125,0.02217600028961897,0.00023423566744895652,0.006827972829341888,0.0008412219758611172,0.0,0.002207578858360648,0.0022871880792081356,0.0,0.00010841951007023454,0.0,0.0,0.0
7,0.002957199910269992,-0.0032845307141542435,2.9999999999999997e-05,0.0014771573478356004,0.001587167011166457,0.02190322056412697,0.0002255220533697866,0.005115091800689697,0.000881774874869734,0.0,0.002199275651946664,0.0022784413304179907,0.0,0.00010793084948090836,0.0,0.0,0.0
8,0.005451447272207588,-0.0032705855555832386,2.9999999999999997e-05,0.0013213181373430416,0.0014455826312769204,0.021445722319185734,0.00021248168195597827,0.007389232516288757,0.0008347514667548239,0.0,0.0021899607963860035,0.002268629614263773,0.0,0.00010738013224909082,0.0,0.0,0.0
9,0.004448317151400261,-0.003258323762565851,2.9999999999999997e-05,0.001283573714317754,0.0013950898428447545,0.02343457844108343,0.00021880611529923044,0.006319940090179443,0.0009280552039854228,0.0,0.0021816848311573267,0.002260166220366955,0.0,0.00010688845213735476,0.0,0.0,0.0
10,-0.0007168801384977996,-0.0032466580159962177,2.9999999999999997e-05,0.0012110976385883987,0.0012947224313393235,0.02588312979787588,0.00021878796542296186,0.0010320693254470825,0.001154038414824754,0.0,0.0021737636998295784,0.0022522108629345894,0.0,0.00010642209963407367,0.0,0.0,0.0
11,-0.0011104835102742072,-0.003232845338061452,2.9999999999999997e-05,0.0013057999240118079,0.001415260776411742,0.02532265428453684,0.00021756730711786076,0.000794045627117157,0.0011753718135878444,0.0,0.002164386445656419,0.0022427926305681467,0.0,0.0001058749039657414,0.0,0.0,0.0
12,0.0028590327710844576,-0.0032204061280936003,2.9999999999999997e-05,0.001289384119445458,0.0013991444720886648,0.024584732949733734,0.00021683281738660298,0.0047394707798957825,0.0010174587951041758,0.0,0.0021559440065175295,0.002234310144558549,0.0,0.00010538609785726294,0.0,0.0,0.0
13,-0.0020172895965515636,-0.0032105189748108387,2.9999999999999997e-05,0.0013753617859038059,0.0014905421121511608,0.02356149908155203,0.0002064863256237004,0.0,0.0010010737751144916,0.0,0.0021492347586899996,0.002227570628747344,0.0,0.00010500202188268304,0.0,0.0,0.0
14,0.008908308103855234,-0.0032026765402406454,2.9999999999999997e-05,0.0013168250807211734,0.0014058606611797586,0.023781796917319298,0.00023130840054363944,0.010812312364578247,0.000966919818893075,0.0,0.0021439141128212214,0.0022222246043384075,0.0,0.00010469969129189849,0.0,0.0,0.0
15,0.002564613736467436,-0.0031908394303172827,2.9999999999999997e-05,0.001318133763561491,0.0014391877193702385,0.02366865985095501,0.00021519308938877657,0.0044946447014808655,0.0010010398691520095,0.0,0.0021358849480748177,0.0022141553927212954,0.0,0.00010424596985103562,0.0,0.0,0.0
16,0.004867739320616238,-0.003181891283020377,2.9999999999999997e-05,0.0012025819523842074,0.0013204661809140816,0.026777584105730057,0.0002203609656135086,0.006620250642299652,0.0012299816007725894,0.0,0.0021298157516866922,0.0022080549970269203,0.0,0.00010390413081040606,0.0,0.0,0.0
17,0.00020220821897964925,-0.003171552438288927,2.9999999999999997e-05,0.0012132265765103512,0.0013257368918857537,0.02518477290868759,0.00020106460942770354,0.00197765976190567,0.001111996651161462,0.0,0.0021228052210062742,0.002201004885137081,0.0,0.0001035106397466734,0.0,0.0,0.0
