date,num_constituents,total_market_cap,daily_return
2020-01-02,3,353558784.01707983,0.0
2020-01-03,3,351072197.68587923,-0.006906276805430456
2020-01-06,3,364893106.05143404,0.041319920175746934
2020-01-07,3,364777449.4988456,-0.00031668357862068517
2020-01-08,3,365355723.8190875,0.001592191901972374
2020-01-09,3,364589216.592072,-0.0020865522055808733
2020-01-10,3,364741653.563972,0.0004322345809329676
2020-01-13,3,365422999.70090485,0.0018771711490809548
2020-01-14,3,365422999.70090485,0.0
2020-01-15,3,365252664.76156807,-0.00046556381653354206
2020-01-16,3,365203318.74511623,-6.465816623505826e-05
2020-01-17,3,365629136.95470095,0.001169470123654874
2020-01-21,3,365434623.4075928,-0.0005259382689558715
2020-01-22,3,364327420.78356075,-0.003006108592913943
2020-01-23,3,365434623.4075928,0.003063007046479356
2020-01-24,3,366359867.3856001,0.0025495012280768166
2020-01-27,3,366359867.3856001,0.0
2020-01-28,3,366359867.3856001,0.0
2020-01-29,3,366359867.3856001,0.0
2020-01-30,3,365629136.95470095,-0.001956490276923393
2020-01-31,3,365852072.975512,0.0007572049155870619
2020-02-03,3,366277910.32385397,0.0011674312765265653
2020-02-04,3,365681731.6565895,-0.0016208895610434764
2020-02-05,3,365681731.6565895,0.0
2020-02-06,3,365852072.975512,0.00046637571076174394
2020-02-07,3,364574586.4488292,-0.0034604296301374397
2020-02-10,3,364574586.4488292,0.0
2020-02-11,3,364574586.4488292,0.0
2020-02-12,3,363938488.0736432,-0.0017361663253535372
2020-02-13,3,361948113.9205828,-0.005409547108038072
2020-02-14,3,361948113.9205828,0.0
2020-02-18,3,363651482.45270777,0.004762991514316191
2020-02-19,3,363651482.45270777,0.0
2020-02-20,3,367324173.0595603,0.010194689711156165
2020-02-21,3,367324173.0595603,0.0
2020-02-24,3,367324173.0595603,0.0
2020-02-25,3,363065703.88235474,-0.011250449131300076
2020-02-26,3,363855191.8159499,0.002516360146244679
2020-02-27,3,363855191.8159499,0.0
2020-02-28,3,354192700.0643015,-0.02520815314995258
2020-03-02,3,357514256.8997116,0.009609655203474886
2020-03-03,3,357514256.8997116,0.0
2020-03-04,3,361620018.0817499,0.01187387784617685
2020-03-05,3,358213300.15625715,-0.009186552251271848
2020-03-06,3,353255857.8979492,-0.013503258846414169
