,OGD_Portfolio,Equal_Weight,SPY_Only,IPO_Only,SPY_Weight,IPO_Weight
2020-07-06,0.0008468249213720571,0.0019203572336937537,0.015437150321180537,-0.01159643585379303,0.46028894,0.53971106
2020-07-07,-0.016676490028183718,-0.016029019110632755,-0.010313561419904804,-0.021744476801360706,0.44335786,0.5566421
2020-07-08,0.051786691044569975,0.04613347036406468,0.007648615815683657,0.0846183249124457,0.42655262,0.57344735
2020-07-09,-0.0035954450445224275,-0.003915691465084928,-0.005692814657676348,-0.0021385682724935073,0.40989754,0.59010243
2020-07-10,-0.0005516518548463615,0.0013406546477704186,0.010210215437034709,-0.0075289061414938714,0.3933258,0.6066742
2020-07-13,-0.04462679093497489,-0.037520127506661796,-0.008658712284330128,-0.06638154272899346,0.37688297,0.623117
2020-07-14,0.004802406342924482,0.00658024588378316,0.012958807027132035,0.00020168474043428327,0.36063945,0.63936055
2020-07-15,-0.0014578553138230744,0.0010672187129492179,0.009187457454947534,-0.007053020029049098,0.3445197,0.65548027
2020-07-16,-0.005226426768527696,-0.004732825933131374,-0.0032935518669895414,-0.006172099999273205,0.32852444,0.6714756
2020-07-17,0.009298259365160806,0.007553995503729279,0.0028988563127627653,0.012209134694695792,0.31265184,0.6873482
2020-07-20,0.027538643543045496,0.022238386688067432,0.008081983774556933,0.03639478960157793,0.31279644,0.6872035
2020-07-21,0.008647627406995342,0.006582211456834669,0.00212738061116835,0.011037042302500988,0.2681825,0.73181754
2020-07-22,-0.0022792042720632833,0.00024203586248112323,0.005691905639784833,-0.005207833914822587,0.26868805,0.731312
2020-07-23,-0.031774596924915514,-0.02472469748935171,-0.011931731544208901,-0.037517663434494516,0.22446197,0.7755381
2020-07-24,-0.004182670986840142,-0.004983107587218561,-0.0064403540541263515,-0.00352586112031077,0.22535995,0.77464
2020-07-27,0.021722510673969915,0.016108556892981282,0.0072927232611275095,0.02492439052483505,0.18159825,0.81840175
2020-07-28,0.0019158764816951124,-0.0012894378654094135,-0.006342671946294565,0.0037637962154757378,0.18284526,0.81715477
2020-07-29,0.02170033995398852,0.01776134149617984,0.012298712879091456,0.023223970113268225,0.13945943,0.86054057
2020-07-30,0.013894278645351381,0.0065969770189172414,-0.003567834376241419,0.0167617884140759,0.14105079,0.8589492
2020-07-31,-0.010206914800217248,-0.0021366995736780015,0.007902066110320627,-0.01217546525767663,0.098047435,0.90195256
2020-08-03,0.04347723332057927,0.02724421640941494,0.0069524330537573675,0.047535999765072515,0.1000101,0.8999899
2020-08-04,0.0254146001770337,0.015295223763888956,0.003862563054760404,0.026727884473017507,0.057435602,0.94256437
2020-08-05,0.03668274538153395,0.02241482746604111,0.0062108308885096,0.03861882404357262,0.05974081,0.9402592
2020-08-06,-0.011442633408620251,-0.002540429408070738,0.006684445669015826,-0.011765304485157302,0.017489165,0.9825108
2020-08-07,-0.04663414152711032,-0.02344363482890546,0.0007180655552541104,-0.04760533521306503,0.020097822,0.9799022
2020-08-10,-0.04018271017749635,-0.018596844501309627,0.0029890211748770934,-0.04018271017749635,0.0,1.0
2020-08-11,-0.012800546282237342,-0.010642929456686823,-0.008254889000151144,-0.013030969913222501,0.048245296,0.9517547
2020-08-12,0.03879854536440364,0.026449972847958473,0.013942395454567436,0.03895755024134951,0.0063563883,0.99364364
