epoch,train_loss,val_loss,lr,train_mean_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,val_mean_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify
1,0.05578304687514901,-0.004364373162388802,0.0003,0.0017681908211670816,0.0019307805923745036,0.011095845140516758,0.00038149612737470306,0.05832585692405701,0.00020750862313434482,0.0,0.0029345666989684105,0.003019044641405344,0.0,0.00015943100152071565,0.0,0.0,0.0
2,0.03980888912337832,-0.004354844801127911,2.9999999999999997e-05,0.0018716170743573457,0.0020038919465150684,0.010914669372141361,0.00033895583692356013,0.04251295328140259,0.00020471519383136183,0.0,0.0029280600138008595,0.0030124487821012735,0.0,0.0001588790473761037,0.0,0.0,0.0
3,0.03652296026120894,-0.004344839137047529,2.9999999999999997e-05,0.0017786303797038272,0.00193890916852979,0.011142329312860966,0.00033929247729247436,0.03910137712955475,0.0002096370153594762,0.0,0.0029212282970547676,0.003005522070452571,0.0,0.00015830078336875886,0.0,0.0,0.0
4,0.03898279875284061,-0.004334431141614914,2.9999999999999997e-05,0.001732975579216145,0.0018886211910285056,0.01145029067993164,0.0003360345617693383,0.0414920449256897,0.00022090470883995295,0.0,0.0029141223058104515,0.002998319687321782,0.0,0.00015770131722092628,0.0,0.0,0.0
5,0.03688389528542757,-0.004324224311858416,2.9999999999999997e-05,0.0017764760123100132,0.001943607028806582,0.011541496962308884,0.00033645867006271146,0.03946392238140106,0.00022403799084713683,0.0,0.0029071541503071785,0.002991257468238473,0.0,0.00015711694140918553,0.0,0.0,0.0
6,0.037697098101489246,-0.004314724821597338,2.9999999999999997e-05,0.0016641723195789382,0.0018105614581145346,0.012102534994482994,0.0003322889460832812,0.04010038077831268,0.0002479342801962048,0.0,0.0029006709810346365,0.002984683495014906,0.0,0.00015657588664907962,0.0,0.0,0.0
7,0.034274163423106074,-0.004304791800677776,2.9999999999999997e-05,0.0017839204301708378,0.0019452567139524035,0.010790618136525154,0.00033149472074001096,0.03686494380235672,0.0001977751890080981,0.0,0.002893892815336585,0.0029778091702610254,0.0,0.0001560113305458799,0.0,0.0,0.0
8,0.03845206298865378,-0.00429469533264637,2.9999999999999997e-05,0.0016997119528241456,0.0018529481894802302,0.012110863346606493,0.00032882069717743434,0.040913812816143036,0.00025276184896938503,0.0,0.0028870035894215107,0.0029708254151046276,0.0,0.0001554414047859609,0.0,0.0,0.0
9,0.0366901996476372,-0.004284853581339121,2.9999999999999997e-05,0.0018146810398320667,0.001977521453227382,0.012303869239985943,0.0003341775372973643,0.03932652622461319,0.0002661764738149941,0.0,0.002880288055166602,0.00296401628293097,0.0,0.0001548851141706109,0.0,0.0,0.0
10,0.04673573584295809,-0.004274945240467787,2.9999999999999997e-05,0.001677632419159636,0.0018306488054804504,0.011192027013748884,0.0003435455000726506,0.04915689677000046,0.0002260605397168547,0.0,0.0028735273517668247,0.0029571622144430876,0.0,0.00015432639338541776,0.0,0.0,0.0
11,0.048501168144866824,-0.004265090450644493,2.9999999999999997e-05,0.0019017411323147826,0.0020567501032928703,0.01202590623870492,0.00035585293153417297,0.05125333368778229,0.00025087159883696586,0.0,0.002866803901270032,0.002950347028672695,0.0,0.0001537745411042124,0.0,0.0,0.0
12,0.04438393743475899,-0.004255965352058411,2.9999999999999997e-05,0.0018646541138878092,0.0020041428215336055,0.011759416200220585,0.0003442824454396032,0.04707849770784378,0.00023799491464160383,0.0,0.0028605794068425894,0.00294404081068933,0.0,0.00015326825086958706,0.0,0.0,0.0
