date,num_constituents,total_market_cap,daily_return
2020-03-09,3,345175754.19824123,-0.06515593516256726
2020-03-10,3,345090567.5898156,-9.471592056331619e-06
2020-03-11,3,317154824.73847294,-0.0334966902032614
2020-03-12,3,302787071.2584686,-0.04514242656602268
2020-03-13,3,294827662.1933918,-0.03905606001373456
2020-03-16,3,288776607.7332592,-0.020145011607537736
2020-03-17,3,277589351.6026745,-0.014431172508421875
2020-03-18,3,247404862.45769405,-0.06950443410912693
2020-03-19,3,247404862.45769405,0.0
2020-03-20,3,245644406.78702402,0.07157131583831132
2020-03-23,3,238830907.14018106,-0.001056455949172255
2020-03-24,3,235591831.12304258,-0.10080258374141593
2020-03-25,3,235591831.12304258,0.0
2020-03-26,3,275255636.74285555,0.0758804115601232
2020-03-27,3,300668174.97897434,0.11620785451642791
2020-03-30,3,282299849.5416565,-0.15053242334073547
2020-03-31,3,284827416.80095816,0.006499956872816369
2020-04-01,3,278524941.11088276,-0.0009845360522213362
2020-04-02,3,278802463.1021371,0.015913154123456605
2020-04-03,3,281037649.50038767,0.05525109167733814
2020-04-06,3,282741030.79168415,0.00031131756283714714
2020-04-07,3,283592711.8679538,0.00015100354165770342
2020-04-08,3,291354772.99257517,0.08092161204265634
2020-04-09,3,293492986.84811115,0.0003661335252489711
2020-04-13,3,293492986.84811115,0.0
2020-04-14,3,293492986.84811115,0.0
2020-04-15,3,293492986.84811115,0.0
2020-04-16,3,291251225.3024926,0.007788141951191634
2020-04-17,3,290823588.91097116,-7.42792340622457e-05
2020-04-20,3,290823588.91097116,0.0
2020-04-21,3,287921460.2284689,-0.017901732698921757
2020-04-22,3,282138708.5833492,-0.06455693899118824
2020-04-23,3,288939496.8783808,0.08763096939163936
2020-04-24,3,288881672.82343674,-0.0006327151086844751
2020-04-27,3,294441099.02327347,0.001001571997545464
2020-04-28,3,303173054.7672472,0.0954327332886577
2020-04-29,3,310443096.7086129,0.0011927209718879594
2020-04-30,3,308997402.4653077,-0.014098427565733382
2020-05-01,3,308997402.4653077,0.0
2020-05-04,3,308997402.4653077,0.0
2020-05-05,3,306003864.7900429,-0.00044085377388435395
2020-05-06,3,309960390.86125994,0.05617389371828055
2020-05-07,3,311670968.32527447,0.00027056317736275684
2020-05-08,3,312526273.0062461,0.00013185112595478935
2020-05-11,3,309703765.645164,-0.0004295068645718384
2020-05-12,3,306060630.67347956,-0.03392444648256413
2020-05-13,3,303751329.0874891,-0.0003666893331791429
2020-05-14,3,304618740.567852,0.008436658297411857
2020-05-15,3,304618740.567852,0.0
2020-05-18,3,299125126.0828533,-0.05285910030984621
2020-05-19,3,299125126.0828533,0.0
2020-05-20,3,299125126.0828533,0.0
2020-05-21,3,299125126.0828533,0.0
2020-05-22,3,301263390.97507524,0.0003517071299654833
2020-05-26,3,302709076.77568007,0.014868892776742144
2020-05-27,3,302709076.77568007,0.0
2020-05-28,3,300998467.4137368,-0.00027197905408557325
2020-05-29,3,302709076.77568007,0.0002793715485310897
2020-06-01,3,300974253.8149543,-0.017524541499631157
2020-06-02,3,300974253.8149543,0.0
2020-06-03,3,301401915.7248187,6.802161172743965e-05
2020-06-04,3,304293287.32602835,0.029856373752581346
2020-06-05,3,311497479.2750416,0.0549713595031877
2020-06-08,3,331435861.852098,0.1779888172138732
2020-06-09,3,331632206.3403144,-0.0017000356856254615
2020-06-10,3,332487485.50294304,0.00012916734506489933
2020-06-11,3,329827418.56420994,-0.02034291392246117
2020-06-12,3,336940199.45734596,0.05582275890325796
2020-06-15,3,336940199.45734596,0.0
2020-06-16,3,336940199.45734596,0.0
2020-06-17,3,336940199.45734596,0.0
2020-06-18,3,336940199.45734596,0.0
2020-06-19,3,325490352.7196951,-0.0841050327527954
2020-06-22,3,325490352.7196951,0.0
2020-06-23,3,322847254.8895383,-0.012037998748143361
2020-06-24,3,322847254.8895383,0.0
2020-06-25,3,321743701.9558568,-0.011987359100511392
2020-06-26,3,321316052.80516386,-6.474765350665436e-05
2020-06-29,3,320460748.12419224,-0.00013029115986085902
2020-06-30,3,317141718.9295893,-0.02450856688081454
2021-06-30,2,25972513298.17137,0.0
2021-07-01,2,45992927298.43246,-0.10030472059440546
2021-07-02,2,41565882119.68246,0.04372654430432814
2021-07-06,2,25743505807.411644,-0.10691418101496866
2021-07-07,2,21863068770.113556,-0.05115658953194219
2021-07-08,2,17142662416.946571,-0.02233575984466842
2021-07-09,2,16327701283.607536,0.07672562239130457
2021-07-12,2,14340333039.465073,-0.020128331435394303
2021-07-13,2,11271634962.038635,-0.08518086576016667
2021-07-14,2,10127887440.03746,-0.0562459435500975
2021-07-15,2,9930863154.892464,0.021730158391357085
2021-07-16,2,9702576238.106857,0.07035644180732716
2021-07-19,2,8411233728.842743,-0.019356039039119984
2021-07-20,2,8775708500.142464,-0.009618948172058876
2021-07-21,2,9302931758.367264,0.03523324663914246
2021-07-22,2,8914021878.708832,0.03912562538420995
2021-07-23,2,8140492905.971771,-0.025269162097533576
2021-07-26,2,7659827005.649273,0.016956424362346657
