date,weight_market,weight_commodities
2022-09-07,0.84500736,0.15499261
2022-09-08,0.82479286,0.17520712
2022-09-09,0.8245484,0.17545149
2022-09-12,0.8110121,0.18898785
2022-09-13,0.79829293,0.20170707
2022-09-14,0.8178138,0.18218619
2022-09-15,0.8344363,0.16556369
2022-09-16,0.8544875,0.14551245
2022-09-19,0.8565692,0.1434308
2022-09-20,0.8532582,0.14674188
2022-09-21,0.85077834,0.14922161
2022-09-22,0.84925085,0.15074912
2022-09-23,0.8512254,0.14877464
2022-09-26,0.8645552,0.13544476
2022-09-27,0.87511665,0.12488341
2022-09-28,0.8735906,0.12640947
2022-09-29,0.85511595,0.14488405
2022-09-30,0.8591423,0.14085767
2022-10-03,0.85854,0.14146005
2022-10-04,0.82057625,0.1794238
2022-10-05,0.7664115,0.23358855
2022-10-06,0.77181387,0.22818616
2022-10-07,0.7800554,0.2199446
2022-10-10,0.8039374,0.19606262
2022-10-11,0.8273489,0.17265105
2022-10-12,0.8450633,0.15493672
2022-10-13,0.850803,0.14919701
2022-10-14,0.8351423,0.16485766
2022-10-17,0.842972,0.15702803
2022-10-18,0.82026035,0.17973968
2022-10-19,0.8075825,0.1924175
2022-10-20,0.81169784,0.18830223
2022-10-21,0.81702125,0.18297878
2022-10-24,0.78956175,0.21043822
2022-10-25,0.7853393,0.2146607
2022-10-26,0.76085436,0.23914567
2022-10-27,0.7420496,0.25795037
2022-10-28,0.74258757,0.2574124
2022-10-31,0.6788388,0.3211612
2022-11-01,0.7095883,0.29041174
2022-11-02,0.71638715,0.2836128
2022-11-03,0.7529218,0.24707814
2022-11-04,0.763338,0.23666196
2022-11-07,0.6998489,0.3001511
2022-11-08,0.67446953,0.32553047
2022-11-09,0.545606,0.45439398
2022-11-10,0.54802406,0.45197594
2022-11-11,0.14712976,0.8528702
2022-11-14,0.10831879,0.89168125
2022-11-15,0.10336775,0.89663225
2022-11-16,0.064615816,0.9353842
2022-11-17,0.062466618,0.9375334
2022-11-18,0.062766455,0.93723357
2022-11-21,0.060070146,0.93992984
2022-11-22,0.0720859,0.9279141
2022-11-23,0.057490308,0.9425097
2022-11-25,0.059739348,0.94026065
2022-11-28,0.07162915,0.9283709
2022-11-29,0.11939405,0.88060594
2022-11-30,0.11186661,0.88813335
2022-12-01,0.06308263,0.93691736
2022-12-02,0.07763435,0.9223656
2022-12-05,0.07700985,0.92299014
2022-12-06,0.10643872,0.8935613
2022-12-07,0.14993562,0.8500644
2022-12-08,0.16334157,0.83665836
2022-12-09,0.18054001,0.81946
2022-12-12,0.28430346,0.7156965
2022-12-13,0.34143886,0.6585611
2022-12-14,0.40113354,0.59886646
2022-12-15,0.5057941,0.49420592
2022-12-16,0.7025302,0.29746988
2022-12-19,0.74301577,0.25698417
2022-12-20,0.76084167,0.23915839
2022-12-21,0.6984489,0.30155113
2022-12-22,0.5568945,0.44310552
2022-12-23,0.5931339,0.40686604
2022-12-27,0.48651934,0.5134807
2022-12-28,0.45589763,0.5441023
2022-12-29,0.4785456,0.5214544
2022-12-30,0.344021,0.655979
2023-01-03,0.40596887,0.5940311
2023-01-04,0.5005285,0.49947152
2023-01-05,0.47862288,0.52137715
2023-01-06,0.5518324,0.44816756
2023-01-09,0.38216913,0.6178308
2023-01-10,0.38557217,0.6144278
2023-01-11,0.3111444,0.6888556
2023-01-12,0.24878626,0.75121367
2023-01-13,0.25502795,0.74497205
2023-01-17,0.7258603,0.27413973
2023-01-18,0.6317755,0.36822447
2023-01-19,0.51908207,0.48091796
2023-01-20,0.9372292,0.06277085
2023-01-23,0.70701927,0.29298076
2023-01-24,0.39045468,0.60954535
2023-01-25,0.55196834,0.44803163
2023-01-26,0.7409692,0.2590308
2023-01-27,0.3223958,0.67760414
2023-01-30,0.30213007,0.69786996
2023-01-31,0.3223158,0.6776842
2023-02-01,0.24005279,0.7599472
2023-02-02,0.5883044,0.41169557
2023-02-03,0.12185221,0.87814784
2023-02-06,0.20569387,0.7943061
2023-02-07,0.2665808,0.7334192
2023-02-08,0.2692361,0.73076385
2023-02-09,0.3670508,0.6329492
2023-02-10,0.48472068,0.5152793
2023-02-13,0.5941587,0.40584126
2023-02-14,0.63873106,0.3612689
2023-02-15,0.66979253,0.3302075
2023-02-16,0.65308553,0.3469145
2023-02-17,0.6480456,0.3519544
2023-02-21,0.6693921,0.3306078
2023-02-22,0.74584585,0.25415418
2023-02-23,0.8028716,0.19712842
2023-02-24,0.81857646,0.18142352
2023-02-27,0.8257333,0.17426668
2023-02-28,0.8228656,0.17713441
2023-03-01,0.7930801,0.20691991
2023-03-02,0.76448184,0.23551814
2023-03-03,0.7414879,0.25851208
2023-03-06,0.67499334,0.32500663
2023-03-07,0.64135385,0.35864612
2023-03-08,0.66646284,0.33353713
2023-03-09,0.66679066,0.33320937
2023-03-10,0.7270829,0.27291706
2023-03-13,0.77899665,0.22100343
2023-03-14,0.79804146,0.20195854
2023-03-15,0.78345925,0.21654075
2023-03-16,0.794938,0.20506199
2023-03-17,0.6749193,0.32508066
2023-03-20,0.9921405,0.007859495
2023-03-21,0.9656132,0.03438688
2023-03-22,0.5792466,0.4207534
2023-03-23,0.9985286,0.0014713486
2023-03-24,0.99972636,0.00027361262
2023-03-27,0.9963787,0.0036213035
2023-03-28,0.99682814,0.0031718188
2023-03-29,0.99992895,7.1015675e-05
2023-03-30,0.99988306,0.000116902505
2023-03-31,0.9999906,9.370013e-06
2023-04-03,0.99998784,1.2218541e-05
2023-04-04,0.9999982,1.7840005e-06
2023-04-05,0.99999976,1.8307887e-07
2023-04-06,0.99999964,3.0934166e-07
2023-04-10,0.99999917,8.615985e-07
2023-04-11,0.99999917,8.4612066e-07
2023-04-12,0.99999976,2.8694302e-07
2023-04-13,0.99999976,2.643768e-07
2023-04-14,0.99999976,2.210428e-07
2023-04-17,0.9999988,1.2278593e-06
2023-04-18,0.9999993,7.4968506e-07
2023-04-19,0.99999976,2.7125665e-07
2023-04-20,0.99999964,4.0805577e-07
2023-04-21,0.99999964,3.0024083e-07
2023-04-24,0.9999987,1.3247903e-06
2023-04-25,0.9999993,7.1282517e-07
2023-04-26,0.99999714,2.8042748e-06
2023-04-27,0.99983907,0.00016096138
2023-04-28,0.9994997,0.00050034135
2023-05-01,0.9999168,8.3154206e-05
2023-05-02,0.99994373,5.631822e-05
2023-05-03,0.9999962,3.867641e-06
2023-05-04,0.9999939,6.0254793e-06
2023-05-05,0.99991333,8.6710075e-05
2023-05-08,0.99236286,0.0076371776
2023-05-09,0.9988815,0.0011184488
2023-05-10,0.9997814,0.00021861403
2023-05-11,0.9997012,0.00029874264
2023-05-12,0.9982096,0.0017903816
2023-05-15,0.9994604,0.00053962285
2023-05-16,0.99992526,7.474851e-05
2023-05-17,0.9988895,0.0011105606
2023-05-18,0.9987909,0.001209122
2023-05-19,0.99885404,0.0011458991
2023-05-22,0.9999653,3.470183e-05
2023-05-23,0.9999585,4.1524963e-05
2023-05-24,0.99992454,7.540429e-05
2023-05-25,0.9839933,0.016006652
2023-05-26,0.38182437,0.61817557
2023-05-30,0.76851285,0.23148718
2023-05-31,0.97957736,0.020422561
2023-06-01,0.9970522,0.0029477752
2023-06-02,0.9998852,0.00011482821
2023-06-05,0.99987984,0.00012013499
2023-06-06,0.99998987,1.0184867e-05
2023-06-07,0.99999654,3.3985204e-06
2023-06-08,0.9999933,6.712788e-06
2023-06-09,0.99999833,1.6312872e-06
2023-06-12,0.9999963,3.741646e-06
2023-06-13,0.99998295,1.7069782e-05
2023-06-14,0.99991155,8.841692e-05
2023-06-15,0.9999471,5.2949606e-05
2023-06-16,0.9999565,4.3510234e-05
2023-06-20,0.9999764,2.3604021e-05
2023-06-21,0.99972874,0.00027127253
2023-06-22,0.9997689,0.0002311183
2023-06-23,0.9982363,0.0017636274
2023-06-26,0.99935645,0.0006435212
2023-06-27,0.99937004,0.00062993204
2023-06-28,0.99675167,0.0032483402
2023-06-29,0.9967127,0.0032873296
2023-06-30,0.9966355,0.0033644869
2023-07-03,0.9984889,0.0015110162
2023-07-05,0.9991128,0.0008871918
2023-07-06,0.9945109,0.0054891235
2023-07-07,0.3582835,0.6417165
2023-07-10,0.30254078,0.69745916
2023-07-11,0.25290504,0.747095
2023-07-12,0.29558823,0.70441175
2023-07-13,0.65732366,0.3426763
2023-07-14,0.90922254,0.09077752
2023-07-17,0.9441917,0.05580826
2023-07-18,0.96654844,0.033451553
2023-07-19,0.9975872,0.002412833
2023-07-20,0.99737525,0.0026247893
2023-07-21,0.98994,0.010059972
2023-07-24,0.98585063,0.014149386
2023-07-25,0.94945383,0.05054613
2023-07-26,0.9799713,0.020028671
2023-07-27,0.99690753,0.0030924235
2023-07-28,0.5575816,0.44241843
2023-07-31,0.75670874,0.24329132
2023-08-01,0.8806239,0.11937616
2023-08-02,0.42426768,0.57573235
2023-08-03,0.3014846,0.69851536
2023-08-04,0.4577634,0.54223657
2023-08-07,0.6481821,0.35181788
2023-08-08,0.740664,0.25933602
2023-08-09,0.79733336,0.20266666
2023-08-10,0.80488366,0.19511631
2023-08-11,0.81183016,0.18816984
2023-08-14,0.7713072,0.22869284
2023-08-15,0.7458378,0.25416216
2023-08-16,0.7600903,0.2399097
2023-08-17,0.7869167,0.21308331
2023-08-18,0.8128762,0.18712373
2023-08-21,0.8271345,0.17286552
2023-08-22,0.8316372,0.16836286
2023-08-23,0.8184775,0.18152247
2023-08-24,0.7859466,0.21405336
2023-08-25,0.7774009,0.22259912
2023-08-28,0.77163696,0.22836305
2023-08-29,0.74439204,0.25560802
2023-08-30,0.71726745,0.2827325
2023-08-31,0.8371266,0.16287334
2023-09-01,0.94146454,0.058535494
2023-09-05,0.9802058,0.019794196
2023-09-06,0.94861114,0.05138888
2023-09-07,0.8555446,0.14445537
2023-09-08,0.7858279,0.21417212
2023-09-11,0.7717924,0.22820754
2023-09-12,0.7838834,0.21611665
2023-09-13,0.7259132,0.27408683
2023-09-14,0.7249779,0.2750221
2023-09-15,0.805587,0.19441298
2023-09-18,0.9587545,0.04124548
2023-09-19,0.9826569,0.017343031
2023-09-20,0.9786335,0.02136641
2023-09-21,0.877259,0.122740924
2023-09-22,0.39325327,0.60674673
2023-09-25,0.42450184,0.57549816
2023-09-26,0.46664947,0.5333506
2023-09-27,0.67201173,0.32798833
2023-09-28,0.7564883,0.24351166
2023-09-29,0.7799172,0.22008282
2023-10-02,0.8130295,0.1869704
2023-10-03,0.81574386,0.18425614
2023-10-04,0.80973107,0.19026895
2023-10-05,0.8070277,0.19297236
2023-10-06,0.79203355,0.20796642
2023-10-09,0.75990164,0.24009836
2023-10-10,0.7153637,0.28463626
2023-10-11,0.64845604,0.351544
2023-10-12,0.63743675,0.36256322
2023-10-13,0.6208388,0.37916124
2023-10-16,0.9835871,0.016412867
2023-10-17,0.9813231,0.018676935
2023-10-18,0.99327165,0.006728392
2023-10-19,0.99874425,0.0012556883
2023-10-20,0.99748886,0.0025111386
2023-10-23,0.9911471,0.0088528795
2023-10-24,0.9205572,0.07944282
2023-10-25,0.93444854,0.06555147
2023-10-26,0.99275404,0.00724593
2023-10-27,0.9932024,0.0067976606
2023-10-30,0.9985703,0.0014297141
2023-10-31,0.9797528,0.020247178
2023-11-01,0.9860218,0.013978169
2023-11-02,0.9974849,0.0025150639
2023-11-03,0.99970955,0.0002904775
2023-11-06,0.99997747,2.2538545e-05
2023-11-07,0.99999034,9.616963e-06
2023-11-08,0.9999957,4.2943757e-06
2023-11-09,0.99999726,2.7247079e-06
2023-11-10,0.9999995,4.3166241e-07
2023-11-13,0.9999981,1.9457589e-06
2023-11-14,0.99999964,3.5790137e-07
2023-11-15,0.99999964,4.139287e-07
2023-11-16,0.99999917,8.027413e-07
2023-11-17,0.9999993,6.755816e-07
2023-11-20,0.99999833,1.6920372e-06
2023-11-21,0.999995,5.0101125e-06
2023-11-22,0.99999857,1.4749772e-06
2023-11-24,0.99999523,4.809214e-06
2023-11-27,0.999998,1.9970707e-06
2023-11-28,0.9999988,1.2313537e-06
2023-11-29,0.9999994,6.257841e-07
2023-11-30,0.99999833,1.6295583e-06
2023-12-01,0.9999943,5.735037e-06
2023-12-04,0.9999987,1.285289e-06
2023-12-05,0.9998976,0.000102347265
2023-12-06,0.99990284,9.717506e-05
2023-12-07,0.999967,3.2970755e-05
2023-12-08,0.9999794,2.0633259e-05
2023-12-11,0.9999399,6.006643e-05
2023-12-12,0.99992394,7.6034215e-05
2023-12-13,0.999979,2.1027106e-05
2023-12-14,0.9999981,1.9046993e-06
2023-12-15,0.9999989,1.1105149e-06
2023-12-18,0.9999958,4.118581e-06
2023-12-19,0.9999962,3.789063e-06
2023-12-20,0.99999666,3.3418712e-06
2023-12-21,0.99967265,0.00032737575
2023-12-22,0.9942228,0.005777192
2023-12-26,0.9862574,0.013742703
2023-12-27,0.9898498,0.010150236
2023-12-28,0.99611425,0.0038857535
2023-12-29,0.989021,0.0109789865
2024-01-02,0.9838124,0.016187672
2024-01-03,0.85995674,0.14004321
2024-01-04,0.40726328,0.5927367
2024-01-05,0.53406024,0.4659397
2024-01-08,0.63244766,0.36755234
2024-01-09,0.65556467,0.3444353
2024-01-10,0.6169919,0.38300812
2024-01-11,0.5748168,0.4251832
2024-01-12,0.5154125,0.48458752
2024-01-16,0.5491745,0.45082554
2024-01-17,0.5544573,0.4455427
2024-01-18,0.6790366,0.3209634
2024-01-19,0.7320145,0.26798546
2024-01-22,0.72901917,0.2709808
2024-01-23,0.6958441,0.30415592
2024-01-24,0.61250174,0.38749832
2024-01-25,0.55528873,0.4447113
2024-01-26,0.5461863,0.45381364
2024-01-29,0.5678943,0.4321057
2024-01-30,0.6287482,0.37125182
2024-01-31,0.67302567,0.3269743
2024-02-01,0.6490938,0.35090616
2024-02-02,0.6965515,0.30344853
2024-02-05,0.67322624,0.3267738
2024-02-06,0.6506732,0.34932673
2024-02-07,0.6191142,0.3808858
2024-02-08,0.6512933,0.34870675
2024-02-09,0.80884737,0.19115259
2024-02-12,0.82766944,0.17233053
2024-02-13,0.5906127,0.40938732
2024-02-14,0.6389127,0.3610873
2024-02-15,0.72584075,0.27415925
2024-02-16,0.7527283,0.24727172
2024-02-20,0.7659725,0.23402752
2024-02-21,0.78649133,0.2135087
2024-02-22,0.7912303,0.20876963
2024-02-23,0.7822846,0.21771532
2024-02-26,0.75429326,0.24570674
2024-02-27,0.7281411,0.27185893
2024-02-28,0.69050497,0.30949497
2024-02-29,0.65735394,0.3426461
2024-03-01,0.64702004,0.35297993
2024-03-04,0.94380325,0.05619678
2024-03-05,0.9980465,0.001953427
2024-03-06,0.99735415,0.002645812
2024-03-07,0.99697626,0.0030236952
2024-03-08,0.98812217,0.011877775
2024-03-11,0.9816,0.018400045
2024-03-12,0.77513313,0.22486687
2024-03-13,0.15858196,0.841418
2024-03-14,0.85422266,0.14577737
2024-03-15,0.9341589,0.0658411
2024-03-18,0.97490305,0.02509692
2024-03-19,0.98928773,0.010712236
2024-03-20,0.9976744,0.002325593
2024-03-21,0.9999622,3.7765087e-05
2024-03-22,0.9999907,9.329978e-06
2024-03-25,0.99999356,6.3860416e-06
2024-03-26,0.9999987,1.3444072e-06
2024-03-27,0.99999917,8.8465066e-07
2024-03-28,0.9999995,5.334846e-07
2024-04-01,0.99999976,1.9017791e-07
2024-04-02,0.99999976,2.7180278e-07
2024-04-03,0.99999964,3.3702557e-07
2024-04-04,0.99999905,9.573292e-07
2024-04-05,0.9995809,0.00041909222
2024-04-08,0.99896467,0.0010353907
2024-04-09,0.9988776,0.0011224112
2024-04-10,0.9989373,0.0010626733
2024-04-11,0.9526462,0.04735378
2024-04-12,0.99619687,0.0038031172
2024-04-15,0.4097383,0.5902617
2024-04-16,0.9080711,0.09192896
2024-04-17,0.45376077,0.54623914
2024-04-18,0.107471064,0.8925289
2024-04-19,0.16968511,0.8303149
2024-04-22,0.5560115,0.44398853
2024-04-23,0.06742575,0.9325743
2024-04-24,0.12286244,0.8771375
2024-04-25,0.61249775,0.38750225
2024-04-26,0.99482334,0.0051766573
2024-04-29,0.99952984,0.00047017276
2024-04-30,0.99997234,2.7632179e-05
2024-05-01,0.9998317,0.00016823932
2024-05-02,0.99998987,1.0122208e-05
2024-05-03,0.99999166,8.395334e-06
2024-05-06,0.99999666,3.358943e-06
2024-05-07,0.9999995,4.834828e-07
2024-05-08,0.9999993,6.743753e-07
2024-05-09,0.99999905,9.304752e-07
2024-05-10,0.99999976,1.8905658e-07
2024-05-13,0.99999976,1.9966755e-07
2024-05-14,0.9999988,1.2126171e-06
2024-05-15,0.9999989,1.0916092e-06
2024-05-16,0.9999994,5.454315e-07
2024-05-17,0.9999982,1.8009151e-06
2024-05-20,0.99999976,2.9258794e-07
2024-05-21,0.99999964,3.8323313e-07
2024-05-22,0.99999917,8.582353e-07
2024-05-23,0.99996066,3.9379822e-05
2024-05-24,0.9983772,0.0016228056
2024-05-28,0.9984188,0.001581202
2024-05-29,0.9998517,0.00014825942
2024-05-30,0.9897166,0.010283438
2024-05-31,0.9496667,0.0503333
2024-06-03,0.84947467,0.15052538
2024-06-04,0.9797662,0.020233884
2024-06-05,0.8433874,0.15661256
2024-06-06,0.98683643,0.0131636225
2024-06-07,0.9994281,0.0005718223
2024-06-10,0.8928154,0.1071846
2024-06-11,0.983536,0.016464014
2024-06-12,0.99092567,0.009074307
2024-06-13,0.9975253,0.002474733
2024-06-14,0.99456644,0.005433603
2024-06-17,0.99913377,0.00086624466
2024-06-18,0.9978461,0.0021538937
2024-06-20,0.9988071,0.0011929179
2024-06-21,0.99934846,0.00065152894
2024-06-24,0.9573629,0.042637076
2024-06-25,0.97851026,0.021489792
2024-06-26,0.98157746,0.018422542
2024-06-27,0.98601323,0.013986794
2024-06-28,0.9982443,0.0017557574
2024-07-01,0.99932706,0.0006729069
2024-07-02,0.9998066,0.0001934591
2024-07-03,0.9999089,9.102632e-05
2024-07-05,0.9999771,2.2941176e-05
2024-07-08,0.9999889,1.1046842e-05
2024-07-09,0.9999342,6.583344e-05
2024-07-10,0.9999325,6.7509085e-05
2024-07-11,0.9999504,4.958731e-05
2024-07-12,0.99999416,5.8115224e-06
2024-07-15,0.9999939,6.1123524e-06
2024-07-16,0.99999297,7.0145197e-06
2024-07-17,0.9999982,1.7471406e-06
2024-07-18,0.99981934,0.00018063927
2024-07-19,0.89711475,0.10288527
2024-07-22,0.27806798,0.72193205
2024-07-23,0.36907068,0.63092935
2024-07-24,0.5016681,0.4983319
2024-07-25,0.6352339,0.3647661
2024-07-26,0.71715313,0.2828469
2024-07-29,0.71631515,0.28368485
2024-07-30,0.7354542,0.26454583
2024-07-31,0.72988003,0.27012
2024-08-01,0.6499112,0.3500888
2024-08-02,0.6155099,0.3844901
2024-08-05,0.7294796,0.27052036
2024-08-06,0.8605589,0.13944107
2024-08-07,0.87700635,0.12299363
2024-08-08,0.8872324,0.11276754
2024-08-09,0.85972285,0.1402772
2024-08-12,0.82275873,0.1772413
2024-08-13,0.74212754,0.25787246
2024-08-14,0.65511954,0.3448805
2024-08-15,0.5469996,0.45300043
2024-08-16,0.5148953,0.4851046
2024-08-19,0.938267,0.061733056
2024-08-20,0.97796863,0.022031428
2024-08-21,0.99296314,0.00703691
2024-08-22,0.98685384,0.013146204
2024-08-23,0.7004576,0.29954237
2024-08-26,0.79646313,0.20353684
2024-08-27,0.7435429,0.25645703
2024-08-28,0.62809235,0.37190765
2024-08-29,0.13152364,0.8684764
2024-08-30,0.13997257,0.86002743
2024-09-03,0.1004714,0.8995286
2024-09-04,0.18595354,0.81404644
2024-09-05,0.2528141,0.7471859
2024-09-06,0.28116062,0.71883935
2024-09-09,0.42194375,0.5780562
2024-09-10,0.42629933,0.5737006
2024-09-11,0.38023612,0.61976385
2024-09-12,0.3268247,0.67317533
2024-09-13,0.28530923,0.7146908
2024-09-16,0.64169085,0.35830918
2024-09-17,0.66263604,0.3373639
2024-09-18,0.32222548,0.67777455
2024-09-19,0.24326088,0.75673914
2024-09-20,0.2534324,0.7465676
2024-09-23,0.76323146,0.23676862
2024-09-24,0.87620556,0.12379439
2024-09-25,0.99774665,0.002253281
2024-09-26,0.9991441,0.00085588923
2024-09-27,0.99974734,0.00025262975
2024-09-30,0.9981889,0.0018110969
2024-10-01,0.9828902,0.017109847
2024-10-02,0.9906103,0.009389635
2024-10-03,0.9743198,0.025680171
2024-10-04,0.79783463,0.20216538
2024-10-07,0.36708346,0.6329165
2024-10-08,0.15792924,0.84207076
2024-10-09,0.12402368,0.87597626
2024-10-10,0.15119062,0.84880936
2024-10-11,0.22767965,0.77232033
2024-10-14,0.31099576,0.68900424
2024-10-15,0.34343094,0.656569
2024-10-16,0.789051,0.21094899
2024-10-17,0.95981055,0.040189456
2024-10-18,0.99611795,0.0038820955
2024-10-21,0.9999635,3.6517384e-05
2024-10-22,0.99999106,8.9208315e-06
2024-10-23,0.99999917,8.568017e-07
2024-10-24,0.9999747,2.529171e-05
2024-10-25,0.99998915,1.0879106e-05
2024-10-28,0.9999647,3.5311805e-05
2024-10-29,0.99989486,0.00010507707
2024-10-30,0.9999889,1.1069389e-05
2024-10-31,0.9999795,2.0484762e-05
2024-11-01,0.8211425,0.17885746
2024-11-04,0.10917105,0.8908289
2024-11-05,0.13706785,0.86293215
2024-11-06,0.13489473,0.8651052
2024-11-07,0.10568743,0.89431256
2024-11-08,0.71923816,0.28076184
2024-11-11,0.9254822,0.07451771
2024-11-12,0.841141,0.15885898
2024-11-13,0.9462339,0.053766094
2024-11-14,0.97047025,0.029529722
2024-11-15,0.9904051,0.0095949
2024-11-18,0.9920547,0.007945358
2024-11-19,0.9995988,0.00040121994
2024-11-20,0.99984765,0.00015235419
2024-11-21,0.99969625,0.00030381282
2024-11-22,0.99980897,0.00019101177
2024-11-25,0.999974,2.6034133e-05
2024-11-26,0.995161,0.004839043
2024-11-27,0.99858665,0.0014133542
2024-11-29,0.9992716,0.000728396
2024-12-02,0.999816,0.00018402762
2024-12-03,0.99962306,0.00037687726
2024-12-04,0.9999213,7.86527e-05
2024-12-05,0.9999596,4.0435436e-05
2024-12-06,0.9999466,5.3437998e-05
2024-12-09,0.99996245,3.7560792e-05
2024-12-10,0.9999912,8.7962335e-06
