date,market_return,commodity_return,rolling_vol,vix,spread_return,spread_mom_5,spread_mom_21,spread_mom_63,spread_vol_21,market_mom_21,commodity_mom_21,market_vol_21,commodity_vol_21,vol_ratio_21,corr_21,vix_chg_5,vix_z_21
2023-05-12,-0.0011444,-0.002549602526817403,0.008124503357194456,17.03,-0.0014052025268174028,-0.0011453529434144265,-0.000826676348387026,0.0008544866479563302,0.01290607251771086,-0.000323896190476193,-0.001150572538863216,0.008124503357194456,0.007574609298932376,0.9322018545750389,-0.35086520987127806,-0.009307737056428178,-0.28772351508009003
2023-05-15,0.00313698,0.003806432404683565,0.008137108972299986,17.12,0.0006694524046835649,-0.001446420102884333,-0.00020641923102653628,0.0011296333114599615,0.012634416049091044,-4.05942857142882e-05,-0.00024701351674082155,0.008137108972299986,0.0069225152238990215,0.8506294579565683,-0.40382839089535144,0.008244994110718551,-0.1994533755829718
2023-05-16,-0.007324519999999999,-0.012260976564449806,0.00824336849838816,17.99,-0.004936456564449807,-0.004470235051597851,-7.75774968461856e-05,0.0010151638001601108,0.012568421118371281,-0.0005568009523809548,-0.0006343784492271375,0.00824336849838816,0.007363964967535047,0.8932115260222492,-0.2947431616413342,0.015810276679841806,0.6244316266820793
2023-05-17,0.012275079999999999,-0.001554202916466566,0.008706400297211961,16.87,-0.013829282916466564,-0.005997116810951752,-0.0009290502274090275,0.0010127472165336613,0.012876602802002814,5.293333333330809e-06,-0.0009237568940756938,0.008706400297211961,0.007269976698716029,0.8349193158196502,-0.2934887453453409,-0.004132231404958664,-0.50083098778022
2023-05-18,0.008679,-0.010965078430851798,0.008907472959677075,16.05,-0.019644078430851798,-0.007829113606780392,-0.0016393350420475569,0.0005073557094257412,0.013493262988159466,0.00044561238095237844,-0.001193722661095176,0.008907472959677075,0.007540670105712667,0.8464604584696422,-0.34140625571028527,-0.05197873597164793,-1.275412511096366
2023-05-19,-0.0018058199999999996,0.009305977565715188,0.008835969335094947,16.81,0.011111797565715188,-0.005325713588273874,-0.001445539401582212,0.0006406591247205503,0.01365246953295806,0.0005990009523809499,-0.0008465384492012591,0.008835969335094947,0.0078570030607305,0.8891060682452943,-0.33549574636475366,-0.012918379330593255,-0.5095972479204023
2023-05-22,-0.00036187999999999997,-0.003596168671581152,0.008838254087637722,17.21,-0.003234288671581152,-0.006106461803526818,-0.0011553534422644655,0.00031987001577794784,0.013540852086501586,0.0005426942857142831,-0.0006126591565501795,0.008838254087637722,0.007688853412745774,0.8698531953617151,-0.33934785662384137,0.005257009345794428,-0.14087024186238464
2023-05-23,-0.01044108,0.00024483941922286904,0.009154404804421654,18.53,0.010685919419222869,-0.002981986606792283,-0.0007656766285277531,0.0005708840937993862,0.01376724198567941,-1.1452380952383484e-05,-0.0007771290094801339,0.009154404804421654,0.007628724370801521,0.8332481778541553,-0.340340910475607,0.030016675931072934,1.053514788491297
2023-05-24,-0.00735642,-0.007657726561405487,0.008682286021203071,20.03,-0.0003013065614054875,-0.00027639133578006745,-0.0015826029542080008,0.0006337041819224785,0.013165260683134571,0.0003446209523809499,-0.001237982001827048,0.008682286021203071,0.007742758763116118,0.8916853302090534,-0.2825717513614849,0.1873147599288678,2.1984134618558135
2023-05-25,0.00695846,-0.011071184434054143,0.008714615408703504,19.14,-0.018029644434054144,4.6495463579462884e-05,-0.0023349761050698572,0.00030615556232703103,0.0136467591451251,0.0009022133333333308,-0.0014327627717365236,0.008714615408703504,0.007943304038771333,0.9113876262643563,-0.34088051390496715,0.1925233644859814,1.3919882942283686
