date,weight_market,weight_sector_Unknown,weight_sector_Healthcare,weight_sector_Financial Services,weight_sector_Technology,weight_sector_Consumer Cyclical,weight_sector_Industrials,weight_sector_Communication Services,weight_sector_Real Estate,weight_sector_Consumer Defensive,weight_sector_Energy,weight_sector_Basic Materials
2022-03-31,0.6194866,0.027585689,0.01604802,0.0033278726,0.004104735,0.09765638,0.06527571,0.039791193,0.0093804635,0.0441327,0.002164755,0.07104601
2022-04-01,0.6194811,0.027586786,0.016046746,0.003327843,0.0041049295,0.09765532,0.06527451,0.03979301,0.0093810605,0.04413375,0.0021647215,0.071050294
2022-04-04,0.6195069,0.027582522,0.016047643,0.0033274486,0.0041040103,0.09765556,0.06527251,0.039789587,0.009378898,0.044131342,0.0021643823,0.07103914
2022-04-05,0.61958313,0.027575156,0.016041601,0.0033255788,0.004101608,0.09764624,0.06525914,0.03978099,0.009374904,0.044122882,0.002162837,0.0710259
2022-04-06,0.619607,0.027574332,0.016035996,0.0033245634,0.0041008117,0.09763871,0.065250956,0.0397809,0.009374345,0.04412058,0.0021620684,0.07102982
2022-04-07,0.61961704,0.027573776,0.016033798,0.0033241452,0.004100536,0.09763618,0.06524778,0.039780505,0.009373947,0.04411966,0.0021617499,0.07103084
2022-04-08,0.61956555,0.027578335,0.016039068,0.0033255715,0.0041022073,0.097644016,0.06525865,0.039785128,0.0093764,0.04412486,0.0021629105,0.07103726
2022-04-11,0.6195164,0.027582886,0.016043738,0.0033268903,0.0041037896,0.09765104,0.06526814,0.039789964,0.009378902,0.044130206,0.0021639718,0.07104406
2022-04-12,0.61958456,0.027575696,0.016038066,0.0033251583,0.0041016154,0.0976431,0.06525583,0.03978226,0.009375222,0.04412233,0.0021625264,0.0710336
2022-04-13,0.6195534,0.027579146,0.016041832,0.0033260772,0.0041025807,0.09764711,0.06526253,0.039785642,0.009376806,0.044126432,0.0021633147,0.071035124
2022-04-14,0.6196251,0.027552025,0.016020805,0.0033221552,0.004099176,0.097642295,0.06522595,0.039782755,0.009372603,0.04410338,0.0021590162,0.07109477
2022-04-18,0.6194693,0.027581248,0.016042966,0.0033276528,0.00410521,0.09765954,0.06526992,0.039796483,0.009381047,0.044131037,0.0021641415,0.07107156
2022-04-19,0.6194598,0.027584918,0.01604556,0.0033280891,0.004105568,0.09765947,0.06527405,0.039797287,0.009381732,0.04413419,0.002164673,0.07106464
2022-04-20,0.6194818,0.02758093,0.01604891,0.0033280328,0.0041047405,0.09766169,0.0652755,0.039792813,0.009379618,0.04413176,0.0021646393,0.07104953
2022-04-21,0.6195094,0.027580673,0.016044836,0.0033271161,0.004103878,0.09765452,0.065268636,0.03979076,0.0093788775,0.044129662,0.0021639988,0.071047656
2022-04-22,0.61953,0.027578251,0.016038634,0.0033260467,0.0041031423,0.097648725,0.06525942,0.039790418,0.009378371,0.044126295,0.002163064,0.07105755
