epoch,train_loss,val_loss,train_mean_return,train_cvar,train_turnover,train_volatility,train_vol_excess,train_weight_path,train_diversify,val_mean_return,val_cvar,val_turnover,val_volatility,val_vol_excess,val_weight_path,val_diversify
1,0.00470609327938924,0.0527056959386834,0.0014268342344186512,0.0014268342394801869,0.05755666444968918,0.00017237443007220662,0.006179353465204654,0.000523740289202618,0.03955379675101975,0.001532132924615365,0.001532132944861508,0.0005332028604638965,0.00035411778314838835,0.05482150419898655,5.431622703302152e-08,0.05021770703403846
2,0.002665531720476397,0.047286621612527044,0.0013757370024509526,0.0013757370075124884,0.07469480998976075,0.00015688912030189226,0.003894544490005659,0.0009200117366044256,0.06021716887050349,0.0013137370418838184,0.00131373705200689,0.00038981179544783157,0.000333076522308503,0.049086791017781135,3.3175031572094e-08,0.06478963306416637
3,0.0024161623528609357,0.04059587068268624,0.0012646905422076563,0.001264690547269192,0.08268174954244624,0.00014627403628685937,0.00339841453925423,0.0014829065064828762,0.06033819646615049,0.0011857855817019615,0.0011857855614558187,0.0003694331718851691,0.00029981470652273856,0.042220947535141655,3.825055503254945e-08,0.06670620162849841
4,0.0012247154093568931,0.04090451794099468,0.0011734864978200715,0.0011734864940239197,0.09514675572838473,0.0001400734840701815,0.0019409747227378514,0.0022466124248002534,0.06738020576860594,0.0011920199714317594,0.001192019961308688,0.00035668506651468897,0.0003023370553147169,0.04253781230553337,3.705946150922085e-08,0.06765184907809547
5,0.0006816820649004038,0.0352320299590128,0.0012130635754463424,0.001213063585569414,0.09382941031261631,0.0001376021616480379,0.0014704527414363363,0.0023729547291346216,0.0705989459934442,0.0012513002211167275,0.0012513002008705846,0.00030888551744915867,0.0002855039663541981,0.036963138891303024,3.13182787915816e-08,0.07363533552574075
6,0.00039625133550820783,0.021207513086941934,0.001136098611111621,0.001136098611111621,0.10351372429210207,0.00013404997610885639,0.0009658022419266079,0.0032434801586255753,0.07893496435945449,0.0010292233694243528,0.0010292233694243528,0.0003247451500299022,0.00023671517935682735,0.022629743037016495,4.5777961325036954e-08,0.08637267383544342
7,0.000685504482293175,0.021441629860023764,0.0011088292854053536,0.0011088292879361213,0.11702876829582712,0.00012510405323827518,0.0010693559180135312,0.004655275812736996,0.08596895764703336,0.001007506828856371,0.001007506828856371,0.0003177611595120929,0.00023908936893111905,0.022830167542333187,4.700055444356829e-08,0.08809518198604169
8,0.0009449924941493563,0.01940103538420416,0.001022578605482957,0.001022578610544493,0.130499466686793,0.00012135510729896613,0.001052333608917568,0.006085464287974426,0.0902566314553437,0.0009240056464003156,0.0009240056464003156,0.00027262977369979996,0.00023178949682598773,0.02066842239835988,3.0431335866679725e-08,0.09146309611590012
9,0.0006420037564210994,0.025055588680476394,0.0009703021309890217,0.0009703021303563298,0.12292803451418877,0.00011935429586668286,0.0007557545019232708,0.0052745070399554525,0.09139892815247826,0.0009677046530313142,0.0009677046530313142,0.0002517998838574504,0.000259470793104771,0.026374892048213795,2.4876435249896273e-08,0.09083872450434644
10,0.0027498354298270146,0.018154672409012994,0.0010593572008909414,0.0010593571958294058,0.1247650265045788,0.0001260874758609925,0.002972250075443931,0.005592723832587185,0.09270676792315814,0.0009007284432933059,0.0009007284382317702,0.0002549339083286569,0.00022319161286324507,0.019391619640847912,2.8264444466067882e-08,0.09363907446031985
