date,weight_market,weight_ipo,realized_market,realized_ipo,gross_ret,cost,net_ret,turnover,was_model_updated
2021-05-18,0.5029916763305664,0.4970083236694336,-0.008395499549806118,0.02260591648519039,0.007012462265126196,0.0,0.007012462265126196,0.0,1
2021-05-19,0.5030254125595093,0.4969745874404907,-0.0030313199386000633,0.00516856461763382,0.001043814305793922,3.37362289428711e-08,0.0010437805695649792,6.747245788574219e-05,0
2021-05-20,0.5030517578125,0.49694833159446716,0.009924599900841713,0.02090430073440075,0.015380944798813634,2.6300549507141115e-08,0.015380918498264127,5.2601099014282227e-05,0
2021-05-21,0.503028154373169,0.49697184562683105,-2.700000004551839e-05,0.010495739057660103,0.005202505050511985,2.3558735847473144e-08,0.005202481491776137,4.711747169494629e-05,0
2021-05-24,0.5065014362335205,0.4934985339641571,0.009369419887661934,0.012110893614590168,0.0107223328735718,3.4732967615127563e-06,0.010718859576810286,0.006946593523025513,1
2021-05-25,0.5063943862915039,0.4936056137084961,-0.0022278199903666973,-0.005461754743009806,-0.0038241083386383323,1.0706484317779542e-07,-0.00382421540348151,0.00021412968635559082,0
2021-05-26,0.5063844323158264,0.4936155676841736,0.001674860017374158,0.01766752265393734,0.009569087263502765,9.953975677490235e-09,0.009569077309527088,1.990795135498047e-05,0
2021-05-27,0.5062869191169739,0.4937131106853485,0.0011279999744147062,0.019071996212005615,0.009987186208618923,9.752810001373291e-08,0.009987088680518908,0.00019505620002746582,0
2021-05-28,0.5062107443809509,0.4937892258167267,0.0020102199632674456,-0.0028410139493644238,-0.0003852671346161185,7.614493370056153e-08,-0.00038534327954981907,0.00015228986740112305,0
2021-06-01,0.5100855231285095,0.48991450667381287,-0.0006027200142852962,0.007661568466573954,0.0034460747818624814,3.8747489452362065e-06,0.003442200032917245,0.007749497890472412,1
2021-06-02,0.5101757049560547,0.4898243248462677,0.0015449200291186571,0.011207545176148415,0.006277908914047281,9.018182754516602e-08,0.0062778187322197355,0.00018036365509033203,0
2021-06-03,0.5101566314697266,0.48984330892562866,-0.003219780046492815,-0.023073315620422363,-0.0129449014139853,1.902878284454346e-08,-0.012944920442768144,3.8057565689086914e-05,0
2021-06-04,0.5102065205574036,0.48979347944259644,0.008477659896016121,0.010589292272925377,0.009511923665206146,4.985928535461426e-08,0.00951187380592079,9.971857070922852e-05,0
2021-06-07,0.5145920515060425,0.4854080080986023,-0.001473100041039288,0.004365889821201563,0.001361192309495371,4.385501146316528e-06,0.0013568068083490545,0.008771002292633057,1
2021-06-08,0.5145106315612793,0.4854893982410431,4.487999831326306e-05,0.011851226910948753,0.005776736257691192,8.140504360198975e-08,0.0057766548526475905,0.0001628100872039795,0
2021-06-09,0.5145708322525024,0.48542919754981995,-0.002028940012678504,-0.0069525400176644325,-0.004418999272622237,6.020069122314453e-08,-0.00441905947331346,0.00012040138244628906,0
2021-06-10,0.5147042274475098,0.4852958023548126,0.003910540137439966,0.013918012380599976,0.008767124525770997,1.3339519500732422e-07,0.00876699113057599,0.00026679039001464844,0
2021-06-11,0.5144761800765991,0.48552387952804565,0.001427719951607287,0.013800865970551968,0.007435177893791042,2.2806227207183837e-07,0.007434949831518971,0.00045612454414367676,0
2021-06-14,0.5194628238677979,0.4805371165275574,0.001408300013281405,0.01223009917885065,0.006608576096003155,4.986703395843506e-06,0.006603589392607311,0.009973406791687012,1
2021-06-15,0.5195297598838806,0.4804702401161194,-0.0019691800698637962,-0.008449780754745007,-0.005082915837025359,6.690621376037598e-08,-0.005082982743239119,0.00013381242752075195,0
2021-06-16,0.5196701884269714,0.48032984137535095,-0.005967120174318552,0.002423370024189353,-0.0019369175260418522,1.4041364192962647e-07,-0.0019370579396837818,0.00028082728385925293,0
2021-06-17,0.5199381709098816,0.4800618290901184,-0.0013867999659851193,0.012360240332782269,0.005212629344416721,2.679973840713501e-07,0.00521236134703265,0.0005359947681427002,0
2021-06-18,0.5199662446975708,0.4800337255001068,-0.013788999989628792,0.0017095704097300768,-0.006349163089954653,2.8088688850402832e-08,-0.006349191178643503,5.6177377700805664e-05,0
2021-06-21,0.5266752243041992,0.4733247458934784,0.01488551963120699,-0.0013795699924230576,0.00718684977454459,6.708979606628418e-06,0.007180140794937962,0.013417959213256836,1
2021-06-22,0.5263162851333618,0.47368377447128296,0.004739759955555201,0.005540906917303801,0.0051192505548141864,3.589838743209839e-07,0.005118891570939865,0.0007179677486419678,0
2021-06-23,0.52591872215271,0.47408124804496765,-0.0013434200081974268,0.003583873389288783,0.0009925174352036006,3.975182771682739e-07,0.0009921199169264324,0.0007950365543365479,0
2021-06-24,0.525675892829895,0.4743240773677826,0.006551399827003479,0.0035097666550427675,0.005108679783775043,2.428293228149414e-07,0.005108436954452228,0.0004856586456298828,0
2021-06-25,0.5254675149917603,0.47453242540359497,0.004212779924273491,0.00038125377614051104,0.002394596277101403,2.0836293697357179e-07,0.0023943879141644295,0.00041672587394714355,0
2021-06-28,0.5285108685493469,0.4714891314506531,0.0007909199921414256,0.01142428070306778,0.005804433998137591,3.0433237552642824e-06,0.005801390674382327,0.0060866475105285645,1
2021-06-29,0.5284468531608582,0.4715530574321747,0.00047266000183299184,0.009357873350381851,0.00466250948001928,6.397068500518799e-08,0.004662445509334275,0.00012794137001037598,0
2021-06-30,0.5284836888313293,0.4715162515640259,0.0017877200152724981,0.05420161038637161,0.026501721026384525,3.682076930999756e-08,0.026501684205615217,7.364153861999512e-05,0
2021-07-01,0.5284290909767151,0.4715709090232849,0.005276000127196312,-0.011545956134796143,-0.0026567450788214098,5.462765693664551e-08,-0.0026567997064783464,0.00010925531387329102,0
2021-07-02,0.5282811522483826,0.47171881794929504,0.00708924001082778,-0.0047188107855618,0.001519160035593839,1.4792382717132568e-07,0.0015190121117666677,0.00029584765434265137,0
2021-07-06,0.5314701795578003,0.4685298800468445,-0.0025899598840624094,-0.013282869011163712,-0.00759990746910863,3.1889826059341433e-06,-0.007603096451714564,0.006377965211868286,1
2021-07-07,0.5318474173545837,0.46815255284309387,0.0034704599529504776,-0.009394349530339241,-0.002552233551919414,3.772825002670288e-07,-0.0025526108344196808,0.0007545650005340576,0
2021-07-08,0.5319034457206726,0.4680964946746826,-0.007999319583177567,-0.008529609069228172,-0.008247545755964092,5.604326725006104e-08,-0.008247601799231343,0.00011208653450012207,0
2021-07-09,0.5327840447425842,0.4672159254550934,0.01102708000689745,0.024460485205054283,0.017303380519934963,8.805841207504272e-07,0.017302499935814213,0.0017611682415008545,0
2021-07-12,0.5360090732574463,0.4639909565448761,0.0036082800943404436,-0.0013210870092734694,0.0013210984443089054,3.224998712539673e-06,0.0013178734455963656,0.006449997425079346,1
2021-07-13,0.5358281135559082,0.4641718864440918,-0.0033251200802624226,-0.011663112789392471,-0.007195381885216401,1.809448003768921e-07,-0.0071955628300167775,0.0003618896007537842,0
2021-07-14,0.536094605922699,0.4639054536819458,0.0014349400298669934,-0.03328847885131836,-0.01467344327406845,2.664625644683838e-07,-0.014673709736632918,0.0005329251289367676,0
2021-07-15,0.5359110832214355,0.46408894658088684,-0.002528059994801879,-0.014335363171994686,-0.008007698963608506,1.8350780010223388e-07,-0.008007882471408607,0.0003670156002044678,0
2021-07-16,0.5360945463180542,0.4639054536819458,-0.007971799932420254,-0.0053895567543804646,-0.006773883239394596,1.834779977798462e-07,-0.006774066717392376,0.0003669559955596924,0
2021-07-19,0.5449544787406921,0.45504552125930786,-0.015670880675315857,3.6320998333394527e-06,-0.00853826383906241,8.85993242263794e-06,-0.008547123771485048,0.01771986484527588,1
2021-07-20,0.5465114712715149,0.4534884989261627,0.014504600316286087,0.01637079380452633,0.01535089716770316,1.5570074319839478e-06,0.015349340160271176,0.0031140148639678955,0
2021-07-21,0.5462559461593628,0.4537440538406372,0.00815666001290083,0.013007216155529022,0.01035757102043855,2.5554001331329347e-07,0.010357315480425237,0.0005110800266265869,0
2021-07-22,0.5456264019012451,0.4543735086917877,0.00185676000546664,0.0008912595803849399,0.0014180620236715746,6.294995546340942e-07,0.0014174325241169405,0.0012589991092681885,0
2021-07-23,0.5453387498855591,0.4546613097190857,0.00963009987026453,0.0016959711210802197,0.006022759075679222,2.877265214920044e-07,0.00602247134915773,0.0005754530429840088,0
2021-07-26,0.5543195605278015,0.4456804692745209,0.0024443799629807472,-0.0098571190610528,-0.0030381578219823846,8.980825543403625e-06,-0.003047138647525788,0.01796165108680725,1
2021-07-27,0.5543429255485535,0.44565704464912415,-0.004142200108617544,-0.017525043338537216,-0.010106358348018901,2.339482307434082e-08,-0.010106381742841975,4.678964614868164e-05,0
2021-07-28,0.555102527141571,0.44489744305610657,-0.0009831199422478676,0.025793058797717094,0.010929533543275083,7.596015930175781e-07,0.010928773941682065,0.0015192031860351562,0
2021-07-29,0.5549626350402832,0.44503727555274963,0.004152759909629822,-0.0009185791132040322,0.001895824636217831,1.3986229896545412e-07,0.0018956847739188655,0.0002797245979309082,0
2021-07-30,0.5546703934669495,0.4453296363353729,-0.0046695200726389885,-0.009711643680930138,-0.006914927284639827,2.923011779785156e-07,-0.006915219585817805,0.0005846023559570312,0
2021-08-02,0.5598366260528564,0.4401633143424988,-0.00230229995213449,0.017958087846636772,0.006615579628464763,5.1662772893905644e-06,0.0066104133511753725,0.010332554578781128,1
2021-08-03,0.5604354739189148,0.4395645558834076,0.008086579851806164,0.010041889734566212,0.008946065013034882,5.988031625747681e-07,0.008945466209872306,0.0011976063251495361,0
2021-08-04,0.5600371956825256,0.43996286392211914,-0.005622980184853077,0.0390888936817646,0.014048583557672856,3.98293137550354e-07,0.014048185264535305,0.000796586275100708,0
2021-08-05,0.5598847270011902,0.4401153326034546,0.006548279896378517,0.005225424654781818,0.00596607141204486,1.5246868133544924e-07,0.005965918943363524,0.00030493736267089844,0
2021-08-06,0.5594776272773743,0.44052234292030334,0.0021144200582057238,-0.0033517226111143827,-0.0002935379802344387,4.0705502033233643e-07,-0.00029394503525477105,0.0008141100406646729,0
2021-08-09,0.563980221748352,0.43601974844932556,-0.001148079987615347,0.010562440380454063,0.003957938191696431,4.502594470977783e-06,0.003953435597225453,0.009005188941955566,1
2021-08-10,0.563940167427063,0.4360598027706146,0.001830079942010343,-0.0061620078049600124,-0.0016549483191996284,4.00543212890625e-08,-0.0016549883735209174,8.0108642578125e-05,0
2021-08-11,0.5639161467552185,0.4360838234424591,0.0031653998885303736,0.005323300138115883,0.004106425185640791,2.4020671844482423e-08,0.0041064011649689465,4.8041343688964844e-05,0
2021-08-12,0.5634569525718689,0.4365430474281311,0.002604600042104721,-0.006913145538419485,-0.0015503056182629427,4.592090845108032e-07,-0.0015507648273474534,0.0009184181690216064,0
2021-08-13,0.5629480481147766,0.4370519816875458,0.0015733999898657203,0.009365420788526535,0.004978918168161976,5.08919358253479e-07,0.004978409248803723,0.001017838716506958,0
2021-08-16,0.5680761337280273,0.43192389607429504,0.0025287000462412834,-0.022841326892375946,-0.008429220757234956,5.128085613250732e-06,-0.008434348842848207,0.010256171226501465,1
2021-08-17,0.5683103203773499,0.43168962001800537,-0.0067582200281322,-0.0032625228632241488,-0.005249163444493721,2.3423135280609133e-07,-0.005249397675846527,0.0004684627056121826,0
2021-08-18,0.5694456100463867,0.43055441975593567,-0.0108621995896101,0.016723062843084335,0.0010147567471950891,1.1352449655532837e-06,0.0010136215022295359,0.0022704899311065674,0
2021-08-19,0.5716530680656433,0.4283469319343567,0.0009403200238011777,-0.016484465450048447,-0.0065235333735366545,2.2074729204177855e-06,-0.006525740846457072,0.004414945840835571,0
2021-08-20,0.5725439190864563,0.4274561107158661,0.007704820018261671,0.013182733207941055,0.010046387714782695,8.908361196517945e-07,0.010045496878663043,0.0017816722393035889,0
