date,ticker,price,shares,market_cap,weight,daily_return,days_since_ipo
2023-01-13,SKWD,19.100000381469727,44166697,843583929.5482578,1.0,0.0,0
2023-01-17,SKWD,19.479999542236328,44166697,860367237.3420906,1.0,0.019895243621841363,4
2023-01-18,SKWD,19.030000686645508,44166697,840492274.2368641,1.0,-0.02310055781136633,5
2023-01-19,SKWD,18.690000534057617,44166697,825475590.517561,0.9697831190094554,-0.01786653391066295,6
2023-01-19,ATMC,10.079999923706055,2551636,25720490.685325623,0.030216880990544672,0.0,0
2023-01-20,SKWD,18.530000686645508,44166697,818408925.7368641,0.8278248847557581,-0.008560719253086768,7
2023-01-20,ATMC,10.079999923706055,2551636,25720490.685325623,0.026016410095076464,0.0,1
2023-01-20,CVKD,61.79999923706055,2338127,144496246.81615067,0.14615870514916537,0.0,0
2023-01-23,SKWD,18.530000686645508,44166697,818408925.7368641,0.8337403415644016,0.0,10
2023-01-23,ATMC,10.079999923706055,2551636,25720490.685325623,0.02620231771040357,0.0,4
2023-01-23,CVKD,58.79999923706055,2338127,137481865.81615067,0.14005734072519488,-0.048543689919674726,3
2023-01-24,SKWD,18.489999771118164,44166697,816642217.4210453,0.8554875061996029,-0.0021587109576403085,11
2023-01-24,ATMC,10.079999923706055,2551636,25720490.685325623,0.026943939420749678,0.0,5
2023-01-24,CVKD,48.0,2338127,112230096.0,0.11756855437964743,-0.183673458795787,4
2023-01-25,SKWD,18.3799991607666,44166697,811783853.7938328,0.8642531671016577,-0.005949194792494561,12
2023-01-25,ATMC,10.109999656677246,2551636,25797039.0839653,0.02746442002506805,0.00297616400776346,6
2023-01-25,CVKD,43.5,2338127,101708524.5,0.1082824128732743,-0.09375,5
2023-01-26,SKWD,18.93000030517578,44166697,836075587.6886063,0.6761377323107535,0.029923893880430485,13
2023-01-26,ATMC,10.130000114440918,2551636,25848072.972011566,0.02090344186727765,0.0019782847124492076,7
2023-01-26,CVKD,42.599998474121094,2338127,99604206.63230133,0.08055032749749272,-0.02068969025008982,6
2023-01-26,GNLX,6.150000095367432,44718438,275018397.9646826,0.22240849832447618,0.0,0
2023-01-27,SKWD,18.690000534057617,44166697,825475590.517561,0.39581591625823875,-0.012678276135713706,14
