date,weight_market,weight_bond
2022-09-20,0.6195867,0.3804133
2022-09-21,0.6195877,0.38041228
2022-09-22,0.61958927,0.38041073
2022-09-23,0.6195892,0.38041088
2022-09-26,0.61958927,0.38041073
2022-09-27,0.61958927,0.38041076
2022-09-28,0.6195883,0.38041168
2022-09-29,0.619585,0.380415
2022-09-30,0.619588,0.38041195
2022-10-03,0.6195896,0.38041034
2022-10-04,0.61958486,0.38041508
2022-10-05,0.61958146,0.38041857
2022-10-06,0.61958426,0.38041577
2022-10-07,0.61958724,0.38041273
2022-10-10,0.6195898,0.38041016
2022-10-11,0.61958903,0.38041094
2022-10-12,0.6195878,0.38041225
2022-10-13,0.6195878,0.38041225
2022-10-14,0.6195842,0.38041583
2022-10-17,0.6195872,0.38041276
2022-10-18,0.6195845,0.38041544
2022-10-19,0.6195836,0.38041642
2022-10-20,0.6195861,0.3804139
2022-10-21,0.6195876,0.38041243
2022-10-24,0.61958426,0.38041583
2022-10-25,0.6195836,0.38041645
2022-10-26,0.6195835,0.38041654
2022-10-27,0.619586,0.380414
2022-10-28,0.6195874,0.38041252
2022-10-31,0.6195848,0.38041526
2022-11-01,0.6195862,0.38041377
2022-11-02,0.6195876,0.3804123
2022-11-03,0.6195901,0.3804099
2022-11-04,0.6195898,0.38041016
2022-11-07,0.61958635,0.38041362
2022-11-08,0.6195855,0.38041452
2022-11-09,0.6195859,0.38041407
2022-11-10,0.61958885,0.38041115
2022-11-11,0.61958134,0.38041863
2022-11-14,0.6195823,0.3804177
2022-11-15,0.6195864,0.38041362
2022-11-16,0.6195864,0.38041356
2022-11-17,0.6195874,0.38041255
2022-11-18,0.619588,0.38041207
2022-11-21,0.619587,0.38041303
2022-11-22,0.6195874,0.3804126
2022-11-23,0.619586,0.38041407
2022-11-25,0.6195859,0.38041413
2022-11-28,0.619587,0.38041303
2022-11-29,0.619589,0.380411
2022-11-30,0.6195888,0.38041118
2022-12-01,0.6195841,0.38041592
2022-12-02,0.6195852,0.38041478
2022-12-05,0.61958736,0.3804126
2022-12-06,0.6195896,0.38041034
2022-12-07,0.61959,0.38040996
2022-12-08,0.61958855,0.38041145
2022-12-09,0.6195869,0.38041314
2022-12-12,0.6195878,0.38041213
2022-12-13,0.6195877,0.38041225
2022-12-14,0.61958754,0.38041252
2022-12-15,0.61958945,0.38041058
2022-12-16,0.61959195,0.38040808
2022-12-19,0.61959195,0.38040814
2022-12-20,0.6195908,0.38040912
2022-12-21,0.61958927,0.38041073
2022-12-22,0.6195868,0.3804132
2022-12-23,0.6195889,0.38041115
2022-12-27,0.6195886,0.38041145
2022-12-28,0.61958873,0.3804113
2022-12-29,0.6195899,0.3804101
2022-12-30,0.61958706,0.38041288
2023-01-03,0.61958826,0.38041177
2023-01-04,0.61958927,0.38041076
2023-01-05,0.61958843,0.3804116
2023-01-06,0.6195899,0.38041005
