date,Model_Portfolio,Equal_Weight,Market_Only,Bond_Only,Market_Weight,Bond_Weight
2022-01-19,-0.004115470219403505,-0.00411547,-0.010383555,0.0021526143,0.5,0.5
2022-01-20,-0.005338965754979363,-0.005265573,-0.011068045,0.0005368994,0.5063242750213786,0.49367572497862144
2022-01-21,-0.008089113084604964,-0.007847192,-0.019630553,0.0039361706,0.5102653973629356,0.48973460263706436
2022-01-24,0.0016064717386999464,0.0015441837,0.004246819,-0.0011584514,0.5115235748586546,0.4884764251413454
2022-01-25,-0.006764011657947556,-0.0065951366,-0.012209089,-0.0009811842,0.5150406779138739,0.4849593220861261
2022-01-26,-0.004023866915385325,-0.0040671686,-0.0025087667,-0.0056255707,0.5138930047854398,0.48610699521456024
2022-01-27,-0.0009523048630851953,-0.000807744,-0.0049380385,0.0033225506,0.5175000688513043,0.4824999311486957
2022-01-28,0.01318476928603866,0.012775774,0.024835525,0.00071602303,0.5169570345841616,0.4830429654158383
2022-01-31,0.009477672903767824,0.00896073,0.01801092,-8.9458474e-05,0.5285597445928975,0.47144025540710255
2022-02-01,0.0034832547466157548,0.0032037247,0.0067569893,-0.0003495398,0.5393342515802845,0.4606657484197155
2022-02-02,0.005753534367783241,0.0053947973,0.009714207,0.0010753876,0.5415261891524618,0.45847381084753824
2022-02-03,-0.014731521113296571,-0.013766595,-0.023505094,-0.0040280963,0.5495418351067046,0.4504581648932954
2022-02-04,-0.00021763331515626877,-0.0007943248,0.004702261,-0.0062909108,0.5524590608225917,0.44754093917740834
2022-02-07,-0.0014091873813768386,-0.0011524407,-0.0032093062,0.00090442493,0.5624121414769769,0.4375878585230231
2022-02-08,0.0033181328243328404,0.002577937,0.008227934,-0.0030720602,0.5655040904304304,0.4344959095695696
2022-02-09,0.00871458749567833,0.0076352274,0.014636043,0.00063441094,0.5770881747953335,0.4229118252046665
2022-02-10,-0.014357182345589643,-0.013602374,-0.017965553,-0.009239196,0.5864974601265465,0.4135025398734535
2022-02-11,-0.008783602528531869,-0.006568068,-0.019718857,0.006582721,0.584235793899595,0.415764206100405
2022-02-14,-0.0043337204141152864,-0.004541163,-0.0032693453,-0.0058129802,0.5815535008710221,0.4184464991289779
2022-02-15,0.008725024666583717,0.0072412924,0.016126962,-0.0016443772,0.5834901663132539,0.41650983368674604
2022-02-16,0.0011475435709075318,0.0011551934,0.0011207716,0.0011896153,0.611120047135497,0.3888799528645031
2022-02-17,-0.012468123777598924,-0.009629709,-0.021361152,0.0021017347,0.6209746848888713,0.37902531511112864
2022-02-18,-0.003145597001667855,-0.0021886432,-0.006475493,0.0020982064,0.6116150407179815,0.38838495928201855
2022-02-22,-0.007101734524620306,-0.005911619,-0.010731237,-0.001092001,0.6234657524840022,0.37653424751599784
2022-02-23,-0.01258287752971258,-0.011101846,-0.017738787,-0.004464904,0.6115748729802247,0.3884251270197753
2022-02-24,0.009893226811211518,0.0084397085,0.015048959,0.001830457,0.6099609190536289,0.3900390809463711
2022-02-25,0.014017921340465329,0.011534396,0.022063948,0.0010048439,0.6179311932327722,0.3820688067672278
2022-02-28,0.0009477392154913964,0.0023259716,-0.0025582544,0.007210198,0.6410901619551452,0.35890983804485477
2022-03-01,-0.007182876699266467,-0.004797602,-0.015230487,0.0056352825,0.6143151889823258,0.38568481101767416
2022-03-02,0.005736674208244042,0.0031974427,0.018396378,-0.012001492,0.5835332047135857,0.4164667952864142
2022-03-03,-0.0016515958137734057,-0.0007996942,-0.004978493,0.0033791044,0.6019314008638239,0.3980685991361761
2022-03-04,-0.003133181132382191,-0.0020596725,-0.0081247,0.004005355,0.588499901302244,0.41150009869775594
2022-03-07,-0.01987371493158172,-0.017640682,-0.029479133,-0.005802231,0.5943127183187975,0.40568728168120244
2022-03-08,-0.005838677271566589,-0.005569278,-0.007581836,-0.0035567197,0.5669295831894892,0.43307041681051084
2022-03-09,0.014290310790342518,0.012353083,0.02681097,-0.0021048035,0.5669955251670673,0.43300447483293275
2022-03-10,-0.004967689706428522,-0.0050549377,-0.004515636,-0.00559424,0.5808899108299831,0.4191100891700169
2022-03-11,-0.007335404659482865,-0.0064497087,-0.012714973,-0.00018444426,0.5706830659840343,0.42931693401596566
2022-03-14,-0.008336148483175067,-0.008497059,-0.0073084435,-0.009685676,0.5676884250650456,0.43231157493495437
2022-03-15,0.013897807513691665,0.01211289,0.021990553,0.0022352275,0.5903512085209401,0.40964879147905986
2022-03-16,0.013686451685358555,0.011459007,0.02217422,0.0007437939,0.6039384098710349,0.39606159012896514
2022-03-17,0.00824900350543017,0.0070911357,0.012510792,0.0016714793,0.6068211303851956,0.3931788696148044
2022-03-18,0.0075966979443688794,0.0065891654,0.010952815,0.0022255154,0.6154460742174327,0.3845539257825673
2022-03-21,-0.0037087948311820083,-0.0050491667,-0.00029237958,-0.009805954,0.6408904712446264,0.3591095287553736
2022-03-22,0.0067324672497521615,0.004496095,0.011701361,-0.0027091717,0.6551901291452435,0.3448098708547564
2022-03-23,-0.0073395199446114525,-0.004378359,-0.012878515,0.0041217976,0.6741827600191268,0.3258172399808732
2022-03-24,0.009382742470327957,0.0064178114,0.01507464,-0.002239017,0.6712481232326655,0.3287518767673346
2022-03-25,0.0007067368992415791,-0.0015320901,0.00488375,-0.00794793,0.6744765320404154,0.32552346795958464
2022-03-28,0.005564927724745727,0.0047817803,0.0071128807,0.00245068,0.667978055452786,0.332021944547214
2022-03-29,0.009911695007986544,0.008535974,0.01237077,0.0047011785,0.6793734180554777,0.3206265819445223
2022-03-30,-0.003525050995315853,-0.0017305423,-0.0061748195,0.002713735,0.7018898246341361,0.29811017536586387
2022-03-31,-0.010479460381050054,-0.007928973,-0.015391327,-0.00046661904,0.6708902494750335,0.32910975052496655
2022-04-01,0.0012927918017463273,0.00052878435,0.0028340016,-0.0017764329,0.665712681687999,0.334287318312001
2022-04-04,0.006086684538725753,0.0047046193,0.0085667,0.0008425389,0.6789275398725756,0.3210724601274244
2022-04-05,-0.011883792307608268,-0.011369828,-0.0126314005,-0.010108257,0.7036997305144755,0.29630026948552446
2022-04-06,-0.007801939503003476,-0.0062762173,-0.0099994205,-0.002553014,0.7048937608160728,0.29510623918392725
2022-04-07,0.002701491832974357,0.00142942,0.0050391224,-0.0021802825,0.676201762287407,0.323798237712593
2022-04-08,-0.003427016007949724,-0.0038544983,-0.0026739037,-0.0050350926,0.6810452976643617,0.3189547023356382
2022-04-11,-0.013161653992620755,-0.010694679,-0.017092487,-0.0042968704,0.692798476772736,0.3072015232272641
2022-04-12,-0.0015125237626440913,-0.0002702747,-0.00370513,0.0031645806,0.6808298994725482,0.31917010052745176
2022-04-13,0.008240008908425012,0.006730471,0.01145363,0.0020073117,0.6598017082486971,0.3401982917513029
2022-04-14,-0.010933251367472197,-0.0102804145,-0.0124518275,-0.008109001,0.65032535738444,0.34967464261556
2022-04-18,-0.0008507556444687435,-0.0013334256,0.00041113028,-0.0030779815,0.6383360589679491,0.3616639410320509
2022-04-19,0.0080142459322464,0.0050323056,0.016142659,-0.006078048,0.6341964751599436,0.36580352484005646
2022-04-20,0.0015599246596186007,0.002492905,-0.00074147206,0.005727282,0.6442287383646652,0.3557712616353348
2022-04-21,-0.011434799418091886,-0.010227512,-0.014953431,-0.005501593,0.62773045633827,0.37226954366173004
2022-04-22,-0.017744027967736484,-0.014204957,-0.027439373,-0.00097054016,0.6337071284343645,0.3662928715656355
2022-04-25,0.006160534828911107,0.006250241,0.0057976902,0.006702791,0.5991113763461745,0.4008886236538255
2022-04-26,-0.015764536300483262,-0.01293641,-0.028960815,0.0030879965,0.5882443715385258,0.4117556284614742
2022-04-27,-0.00020826224409713125,-0.00061421667,0.0028117641,-0.0040401975,0.5592464533517097,0.44075354664829025
2022-04-28,0.013939231051642954,0.0124365315,0.025259424,-0.00038636173,0.5585944190774175,0.44140558092258253
2022-04-29,-0.02413186065352527,-0.021473287,-0.036955696,-0.005990879,0.5858578730956685,0.41414212690433155
2022-05-02,0.0011271853491940952,0.00028809602,0.00601945,-0.0054432577,0.5732016692109961,0.42679833078900387
2022-05-03,0.0036012009100724386,0.0034178342,0.004584116,0.0022515524,0.5786116799131028,0.4213883200868972
2022-05-04,0.02023510607531225,0.018450491,0.030453023,0.0064479597,0.5743432730845281,0.42565672691547185
2022-05-05,-0.025165387004916374,-0.022721965,-0.03554286,-0.009901071,0.595290587750825,0.404709412249175
2022-05-06,-0.005234280251956723,-0.005092363,-0.005969116,-0.0042156093,0.5809336002016083,0.4190663997983917
2022-05-09,-0.01627505525788989,-0.013547162,-0.0320171,0.004922777,0.5738468455196203,0.4261531544803797
2022-05-10,0.002642632555157453,0.0026737433,0.0023104171,0.0030370695,0.5428137861488953,0.45718621385110464
2022-05-11,-0.007112813676360827,-0.006087224,-0.015886018,0.0037115705,0.5523324543827015,0.44766754561729843
2022-05-12,0.000280250782086309,0.00040259172,-0.0010440792,0.0018492626,0.5422836085597424,0.45771639144025755
2022-05-13,0.010733940753768602,0.009816847,0.023907894,-0.004274201,0.5325417313324374,0.46745826866756257
2022-05-16,-0.0012737785838930048,-0.00090703403,-0.0040576155,0.0022435475,0.5582026767022163,0.4417973232977836
2022-05-17,0.008873369493885503,0.007559904,0.02057056,-0.005450751,0.5504765261137938,0.44952347388620617
2022-05-18,-0.020519557629922983,-0.018149406,-0.040311564,0.004012753,0.5534729541114927,0.4465270458885073
2022-05-19,-0.0019995462181578777,-0.0017950486,-0.0061246366,0.0025345394,0.5236162914419112,0.47638370855808876
2022-05-20,0.0016628992399882843,0.0017253832,0.0004366447,0.0030141217,0.5242422924368695,0.47575770756313057
2022-05-23,0.008655097189597541,0.007706948,0.018710084,-0.0032961878,0.5430853975762927,0.4569146024237073
2022-05-24,-0.000912070942552906,2.4834648e-05,-0.007633964,0.0076836334,0.5611653096919955,0.4388346903080044
2022-05-25,0.006841020237620483,0.0064925244,0.008834947,0.0041501024,0.5743878682637833,0.4256121317362167
2022-05-26,0.011114316012792499,0.009606245,0.019981498,-0.0007690087,0.5726763662164027,0.4273236337835972
2022-05-27,0.014668692216532511,0.013092192,0.02454914,0.0016352438,0.5688010676309678,0.4311989323690322
2022-05-31,-0.005893627825761726,-0.005974628,-0.005610983,-0.006338273,0.6113725934081133,0.3886274065918867
2022-06-01,-0.006506966979063684,-0.0060970644,-0.008088768,-0.0041053607,0.6029024440232267,0.39709755597677326
2022-06-02,0.011894626167651514,0.010153633,0.019043477,0.0012637888,0.5979203405260087,0.4020796594739913
2022-06-03,-0.010403349195774817,-0.009030737,-0.016411174,-0.0016503007,0.592989877264906,0.4070101227350939
2022-06-06,-0.0006094926567760692,-0.0015413486,0.0030445834,-0.0061272806,0.6015994111215148,0.39840058887848523
2022-06-07,0.0073410640440246195,0.0067043956,0.009592141,0.0038166498,0.6102362748607608,0.3897637251392391
2022-06-08,-0.008459107861300445,-0.007483208,-0.010872034,-0.004094382,0.6439878732788753,0.35601212672112464
2022-06-09,-0.01559104507744061,-0.0124300495,-0.02378294,-0.0010771588,0.6392154386890934,0.3607845613109066
2022-06-10,-0.02127527854647027,-0.018368348,-0.028995514,-0.007741181,0.6367688665934843,0.36323113340651575
2022-06-13,-0.029818735552357884,-0.027180918,-0.037968352,-0.016393485,0.6222634165602988,0.3777365834397012
2022-06-14,-0.004227103679308525,-0.0044684997,-0.0030132928,-0.005923706,0.5829420926477257,0.4170579073522743
2022-06-15,0.012967008607908023,0.012683181,0.014256382,0.011109979,0.5902071155875477,0.4097928844124523
2022-06-16,-0.01790891033589176,-0.015349343,-0.033096235,0.0023975475,0.5721130929109993,0.4278869070890007
2022-06-17,0.0012066203215781947,0.0010281953,0.0021559699,-9.9579294e-05,0.5791049238606745,0.4208950761393255
2022-06-21,0.013151605872481782,0.010593448,0.025173416,-0.0039865207,0.5877285171603166,0.4122714828396834
2022-06-22,0.002182217491725407,0.003345999,-0.0018128941,0.008504892,0.612793707752851,0.387206292247149
2022-06-23,0.007476640284258688,0.006984938,0.009802691,0.004167185,0.5872507966699161,0.41274920333008386
2022-06-24,0.018571266670517343,0.015106559,0.03179388,-0.0015807635,0.6038125751977598,0.39618742480224023
