date,weight_market,weight_sector_Unknown
2024-09-10,0.642019,0.357981
2024-09-11,0.6427075,0.35729244
2024-09-12,0.643073,0.35692695
2024-09-13,0.6430642,0.3569358
2024-09-16,0.6429579,0.357042
2024-09-17,0.64283407,0.35716593
2024-09-18,0.64266694,0.35733312
2024-09-19,0.64258,0.35742
2024-09-20,0.6422242,0.35777575
2024-09-23,0.642189,0.357811
2024-09-24,0.6418793,0.35812065
2024-09-25,0.641345,0.358655
2024-09-26,0.6409622,0.35903782
2024-09-27,0.64059585,0.35940412
2024-09-30,0.6409239,0.35907605
2024-10-01,0.64068925,0.35931072
2024-10-02,0.64123535,0.35876468
2024-10-03,0.64119583,0.35880417
2024-10-04,0.64172703,0.35827303
2024-10-07,0.64183825,0.3581618
2024-10-08,0.64280736,0.3571926
2024-10-09,0.6430467,0.35695332
2024-10-10,0.6436635,0.35633647
2024-10-11,0.64423627,0.35576376
2024-10-14,0.6447626,0.35523742
2024-10-15,0.6450927,0.35490727
2024-10-16,0.64528906,0.3547109
2024-10-17,0.6454808,0.35451922
2024-10-18,0.64557093,0.35442907
2024-10-21,0.64531094,0.35468906
2024-10-22,0.6452395,0.35476053
2024-10-23,0.64502877,0.3549713
2024-10-24,0.6449101,0.3550899
2024-10-25,0.6448383,0.35516173
2024-10-28,0.64491487,0.35508516
2024-10-29,0.64502794,0.35497203
2024-10-30,0.64523286,0.3547671
2024-10-31,0.64544266,0.35455737
2024-11-01,0.6455931,0.3544069
2024-11-04,0.6456265,0.35437348
2024-11-05,0.64605486,0.35394517
2024-11-06,0.64670897,0.35329106
2024-11-07,0.6454186,0.35458142
2024-11-08,0.64403486,0.3559651
2024-11-11,0.6428752,0.35712478
2024-11-12,0.6421605,0.3578395
2024-11-13,0.64127725,0.35872278
2024-11-14,0.6400726,0.35992748
2024-11-15,0.63967407,0.36032593
2024-11-18,0.64022887,0.35977116
2024-11-19,0.63969857,0.3603014
2024-11-20,0.6400245,0.35997555
2024-11-21,0.6402665,0.35973355
2024-11-22,0.6403258,0.3596742
2024-11-25,0.63990265,0.36009735
2024-11-26,0.63953215,0.3604678
2024-11-27,0.63925844,0.3607416
2024-11-29,0.6385419,0.36145815
2024-12-02,0.63754743,0.36245263
2024-12-03,0.6367402,0.36325973
2024-12-04,0.6361613,0.36383864
2024-12-05,0.6357535,0.3642465
2024-12-06,0.6355488,0.36445126
2024-12-09,0.63456,0.36544
2024-12-10,0.6352583,0.36474168
2024-12-11,0.635201,0.36479893
2024-12-12,0.63475853,0.3652415
2024-12-13,0.6349534,0.3650466
2024-12-16,0.6348839,0.36511615
2024-12-17,0.6356145,0.3643855
2024-12-18,0.6363116,0.36368838
2024-12-19,0.63875246,0.36124763
2024-12-20,0.63758945,0.36241058
2024-12-23,0.6374823,0.36251765
2024-12-24,0.6386909,0.36130908
2024-12-26,0.63872933,0.36127067
2024-12-27,0.63905054,0.36094952
2024-12-30,0.6392185,0.3607815
2024-12-31,0.6394813,0.36051878
