date,weight_market,weight_sector_Unknown
2024-03-15,0.5856526,0.4143474
2024-03-18,0.5856367,0.41436338
2024-03-19,0.58575916,0.4142408
2024-03-20,0.58609676,0.4139033
2024-03-21,0.5863092,0.41369084
2024-03-22,0.58594763,0.41405234
2024-03-25,0.5855562,0.4144438
2024-03-26,0.5853794,0.41462055
2024-03-27,0.5852572,0.4147428
2024-03-28,0.58530617,0.41469383
2024-04-01,0.58508545,0.41491452
2024-04-02,0.5848896,0.41511035
2024-04-03,0.58457875,0.41542122
2024-04-04,0.58508134,0.41491863
2024-04-05,0.5841142,0.41588584
2024-04-08,0.58475786,0.41524214
2024-04-09,0.5856086,0.41439146
2024-04-10,0.5858674,0.41413254
2024-04-11,0.58533174,0.4146683
2024-04-12,0.58602506,0.41397497
2024-04-15,0.58445483,0.41554514
2024-04-16,0.5835396,0.41646037
2024-04-17,0.58439124,0.41560873
2024-04-18,0.5847448,0.41525522
2024-04-19,0.58510655,0.4148935
2024-04-22,0.58460164,0.41539836
2024-04-23,0.58578444,0.4142156
2024-04-24,0.5866686,0.41333136
2024-04-25,0.5862286,0.4137714
2024-04-26,0.5864539,0.4135461
2024-04-29,0.5866132,0.41338685
2024-04-30,0.58663267,0.4133674
2024-05-01,0.5857765,0.41422343
2024-05-02,0.58592373,0.41407627
2024-05-03,0.5864862,0.41351378
2024-05-06,0.5871663,0.41283366
2024-05-07,0.5867786,0.41322136
2024-05-08,0.5864274,0.4135726
2024-05-09,0.58620644,0.41379353
2024-05-10,0.58588594,0.41411403
2024-05-13,0.5855288,0.4144712
2024-05-14,0.58502036,0.41497967
2024-05-15,0.5852174,0.41478264
2024-05-16,0.5855001,0.4144999
2024-05-17,0.58518994,0.41481003
2024-05-20,0.5849409,0.41505912
2024-05-21,0.58449924,0.4155008
2024-05-22,0.5842784,0.41572157
2024-05-23,0.5839522,0.4160478
2024-05-24,0.5838688,0.41613123
2024-05-28,0.58419865,0.41580132
2024-05-29,0.58390063,0.41609937
2024-05-30,0.58373964,0.4162604
2024-05-31,0.58416724,0.41583273
2024-06-03,0.5853602,0.41463974
2024-06-04,0.585214,0.414786
2024-06-05,0.585057,0.41494304
2024-06-06,0.5851309,0.41486907
2024-06-07,0.58490103,0.41509897
2024-06-10,0.584723,0.41527703
2024-06-11,0.5843907,0.41560927
2024-06-12,0.58435154,0.4156485
2024-06-13,0.58455426,0.41544577
2024-06-14,0.58426386,0.41573614
2024-06-17,0.58386713,0.4161329
2024-06-18,0.5839677,0.41603228
2024-06-20,0.5841962,0.41580376
2024-06-21,0.58397037,0.41602957
2024-06-24,0.58429027,0.41570973
2024-06-25,0.5845074,0.41549262
2024-06-26,0.5848003,0.41519976
2024-06-27,0.5848041,0.4151959
2024-06-28,0.58465797,0.41534206
2024-07-01,0.5843609,0.4156391
2024-07-02,0.5842466,0.4157534
2024-07-03,0.5841326,0.4158674
2024-07-05,0.5839105,0.41608945
2024-07-08,0.5837241,0.4162759
2024-07-09,0.5838357,0.41616425
2024-07-10,0.5838486,0.41615146
2024-07-11,0.58389306,0.41610697
2024-07-12,0.5841097,0.4158903
2024-07-15,0.584359,0.415641
2024-07-16,0.5841911,0.4158089
2024-07-17,0.5843731,0.4156269
2024-07-18,0.5840199,0.41598013
2024-07-19,0.58360267,0.4163973
2024-07-22,0.5838294,0.4161706
2024-07-23,0.5853596,0.4146404
2024-07-24,0.58568126,0.4143187
2024-07-25,0.58359516,0.4164048
2024-07-26,0.58370364,0.41629633
2024-07-29,0.58536595,0.4146341
2024-07-30,0.58537143,0.4146286
2024-07-31,0.5846714,0.41532865
2024-08-01,0.5856253,0.4143747
2024-08-02,0.5841953,0.41580465
2024-08-05,0.58216083,0.41783917
2024-08-06,0.5812675,0.41873252
2024-08-07,0.5830723,0.41692773
2024-08-08,0.5828686,0.4171314
2024-08-09,0.5836082,0.41639182
2024-08-12,0.5847204,0.4152797
2024-08-13,0.58414036,0.4158596
2024-08-14,0.5854263,0.41457367
2024-08-15,0.5865845,0.41341546
2024-08-16,0.58705336,0.41294664
2024-08-19,0.58695406,0.41304588
2024-08-20,0.58675295,0.41324705
2024-08-21,0.58560926,0.4143907
2024-08-22,0.5853811,0.41461894
2024-08-23,0.58463913,0.41536087
2024-08-26,0.5860284,0.4139716
2024-08-27,0.5859075,0.41409245
