date,SPY,AAPL,port_ret,SPY_ret,AAPL_ret
2014-03-19,0.4484053,0.55159473,-0.0030571733961186737,-0.0002629580456534608,-0.005328661524322431
2014-03-20,0.4352704,0.5647296,0.0011996844601862896,-0.004819289030315588,0.0058388622167624415
2014-03-21,0.42218497,0.57781506,0.0010891912275111854,0.007887522023634297,-0.003878060951563289
2014-03-24,0.41873693,0.58126307,0.0025625088788424335,0.0118603463489102,-0.004135573484888577
2014-03-25,0.41530868,0.58469135,0.007242577108128858,0.01075736063351762,0.00474601148646836
2014-03-26,0.4118958,0.5881042,-0.008167574682361425,-0.009559842135245633,-0.007192459870530965
2014-03-27,0.40850213,0.5914979,-0.003003329199752225,-0.004298850574712687,-0.002108612022849732
2014-03-28,0.4051326,0.5948674,0.0024808943303529923,-0.0011157186792120077,0.004930356478991316
2014-03-31,0.4017875,0.5982125,0.004812118282420731,-0.0002238484188684664,0.00819450910674191
2014-04-01,0.39847097,0.601529,0.007633628565471007,0.009147724406181945,0.006630646150139086
2014-04-02,0.3951717,0.6048283,0.0026807642863360755,0.0016617600075476968,0.003346542744711911
2014-04-03,0.39188233,0.6081177,-0.003520704180480943,-0.006930070172734615,-0.0013236452978201418
2014-04-04,0.38861135,0.6113887,-0.012255072629184845,-0.012936248383592974,-0.011822102176408333
2014-04-07,0.38535804,0.61464196,-0.012843068140930634,-0.01570099254299695,-0.01105125401543805
2014-04-08,0.38211796,0.6178821,0.0025252591096093318,-5.756874239160048e-05,0.004122561828562077
2014-04-09,0.37889275,0.6211073,0.011657641114383575,0.01314371223220534,0.010751095408981115
2014-04-10,0.37568265,0.62431735,-0.01795963843687569,-0.012897467810792707,-0.02100579705405814
2014-04-11,0.37249437,0.6275056,-0.008406843588877059,-0.007393062854170851,-0.009008635617980598
2014-04-14,0.36932513,0.63067484,0.006440210402006066,0.003983988755519308,0.007878581674441554
2014-04-15,0.36617038,0.6338296,0.0017542816919813619,-0.007130912196205652,0.0068873566659124474
2014-04-16,0.36302677,0.63697326,0.007409792608247619,0.002027017298803502,0.010477568658892933
2014-04-17,0.3599262,0.6400738,0.0050066726151515315,0.011425899600857825,0.001397013891575094
2014-04-21,0.35685316,0.6431468,0.006478042764721452,0.011868336709470295,0.00348721210461278
2014-04-22,0.35379964,0.64620036,0.0032895564866572843,0.0009976240689206772,0.004544407016761509
2014-04-23,0.35075706,0.64924294,-0.006105204078370981,-0.01307138221598092,-0.002341688123951302
2014-04-24,0.34772363,0.6522764,0.02982926476530151,0.0819815353418254,0.0020272812311907806
2014-04-25,0.34469527,0.65530473,-0.002841289745775475,0.007344648096399009,-0.00819917049037433
2014-04-28,0.3416861,0.6583139,0.01531794804321438,0.03872778363459606,0.003167489994462258
2014-04-29,0.33868954,0.6613105,0.0020749453764187997,-0.002962348815106819,0.004654790652691698
2014-04-30,0.33570305,0.664297,0.0007123561725925676,-0.003781661156968541,0.002983411572012873
2014-05-01,0.33272514,0.66727483,0.0008546286331925729,0.002356026664205313,0.00010598231541436576
2014-05-02,0.32976195,0.6702381,-0.00034768574887285937,0.001859184594087404,-0.0014334817522744236
2014-05-05,0.3268132,0.6731868,0.005910314193735285,0.014141748609359572,0.0019141850035011565
2014-05-06,0.32388124,0.67611873,-0.00941520717468873,-0.01089949934744594,-0.008704186926841606
2014-05-07,0.32095876,0.67904127,0.0028761193160632944,-0.0034991010068476935,0.005889460056434981
2014-05-08,0.31805035,0.6819496,-0.0012928244859197198,-0.0017823187294856435,-0.0010645323205633606
2014-05-09,0.31515428,0.6848457,-0.0002915457653054972,-0.004167306339402321,0.0014920129652975511
2014-05-12,0.31227252,0.68772745,0.01058339631023386,0.012449903219326375,0.009735882518836059
2014-05-13,0.30940855,0.69059145,0.0011039649269957814,0.0015688236795989852,0.0008956923331231437
2014-05-14,0.3065576,0.6934424,-0.0032285512670437535,0.00018540453713877802,-0.004737795723160465
2014-05-15,0.30373222,0.69626784,-0.008696219299923657,-0.008503280724440176,-0.008780383951391801
2014-05-16,0.30093563,0.6990644,0.006866038588552451,0.014758376213162006,0.003468517843373986
2014-05-19,0.29814944,0.7018506,0.006108050643893224,0.01184919922376726,0.0036691833431197196
2014-05-20,0.29538083,0.70461917,-0.004383876875698677,0.00019847180730092617,-0.006304826538952701
2014-05-21,0.2926229,0.7073771,0.006733264333282707,0.0026455646080993933,0.008424235878604636
2014-05-22,0.28987968,0.7101203,0.002186348321644141,0.001583471262964098,0.002432450077327619
2014-05-23,0.28714517,0.71285486,0.006101158297127948,0.011296302543232217,0.004008501229801675
2014-05-27,0.28442362,0.7155764,0.009724472885169633,0.018725847362756287,0.0061466526714506475
2014-05-28,0.2817148,0.7182852,-0.0012543725437751266,-0.0025895539500122577,-0.0007307081792277126
2014-05-29,0.27902192,0.7209781,0.008813577000425449,0.01822118582416321,0.005172787837925519
2014-05-30,0.27633926,0.72366077,0.00013100596537426383,-0.0037458920181617783,0.0016114497870500788
2014-06-02,0.27366522,0.72633475,-0.001051433149888591,-0.006871939449340281,0.0011415916302253137
2014-06-03,0.2709966,0.72900337,0.0034543393038750183,0.014141247904258192,-0.0005183663251598913
2014-06-04,0.26834488,0.7316551,0.004544614376189008,0.011419187686861454,0.0020232672835338583
2014-06-05,0.26570717,0.7342928,0.005831398103923846,0.0039233342515243574,0.006521839875029745
2014-06-06,0.26307926,0.7369208,0.002800838528087159,-0.002749911920185033,0.0047824451706541815
2014-06-09,0.2604678,0.7395322,0.004924999652125753,0.016001567586588106,0.0010237641394057473
